,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,year,popularity,artist
4060,0.567,0.565,9,-7.78,1,0.0426,0.119,9.17E-05,0.368,0.271,133.631,239704,2016,3,Miranda Lambert
4061,0.625,0.874,7,-2.628,0,0.0514,0.304,1.20E-06,0.119,0.456,128.042,213056,2016,33,Trevor Guthrie
4062,0.578,0.56,5,-5.913,1,0.0365,0.00486,0.00509,0.321,0.263,159.953,280010,2016,49,HONNE
4073,0.791,0.655,0,-7.109,1,0.0417,0.123,0,0.0839,0.48,97.998,161633,2016,44,Starley
4074,0.748,0.524,8,-5.599,1,0.0338,0.414,0,0.111,0.661,95.01,244960,2016,86,The Chainsmokers
4076,0.73,0.866,7,-4.251,1,0.054,0.222,1.68E-06,0.0709,0.867,109.02,186873,2016,24,Fickle Friends
4078,0.579,0.78,11,-4.795,0,0.0411,0.00915,2.81E-05,0.178,0.158,107.015,210009,2016,22,Carah Faye
4079,0.726,0.59,0,-6.805,1,0.135,0.0288,0,0.166,0.378,95.857,195413,2016,39,JoJo
4085,0.505,0.921,8,-4.46,1,0.0648,0.000328,0.0159,0.143,0.654,169.999,200223,2016,0,The Temper Trap
4138,0.822,0.544,0,-6.797,1,0.0332,0.562,2.40E-05,0.144,0.861,122.047,198001,2016,9,Andy Grammer
4139,0.514,0.582,6,-8.835,1,0.101,0.0209,0.0835,0.0937,0.621,99.996,252235,2016,60,ZHU
4140,0.63,0.813,0,-5.756,1,0.0308,0.0165,0,0.123,0.524,102.033,176471,2016,0,Party Favor
4142,0.734,0.626,5,-7.206,0,0.0354,0.00612,0.0276,0.106,0.672,108.018,232133,2016,40,ZHU
4144,0.501,0.519,4,-5.88,0,0.0409,0.109,0,0.454,0.168,133.99,195707,2016,82,Martin Garrix
4146,0.495,0.831,5,-5.812,0,0.0319,0.021,4.79E-05,0.495,0.414,128.064,192632,2016,3,Martin Garrix
4147,0.618,0.535,1,-6.941,1,0.0421,0.00115,0,0.377,0.154,128.022,232510,2016,2,Martin Garrix
4148,0.375,0.874,9,-3.723,1,0.0736,0.00253,0.000163,0.101,0.223,145.071,287651,2016,0,Butch Walker
4149,0.513,0.819,8,-4.033,1,0.0389,0.000668,0,0.0732,0.355,85.081,207973,2016,0,Goldroom
4153,0.508,0.516,0,-10.198,1,0.0372,0.123,0,0.124,0.161,89.945,197333,2016,29,morgxn
4154,0.766,0.576,6,-5.614,1,0.0426,0.00404,0.000138,0.0794,0.744,122.975,187960,2016,56,Sabrina Carpenter
4155,0.459,0.869,11,-4.125,0,0.0874,0.00567,1.72E-06,0.0728,0.53,169.934,225011,2016,56,Sabrina Carpenter
4159,0.555,0.789,2,-4.168,0,0.05,0.027,0,0.0883,0.265,99.906,238139,2016,0,Sabrina Carpenter
4160,0.738,0.837,11,-3.225,1,0.0519,0.0832,0,0.12,0.808,110.008,222387,2016,53,Jason Derulo
4161,0.608,0.833,0,-4.458,1,0.036,0.0155,2.07E-06,0.086,0.395,93.977,220267,2016,4,Kenny Chesney
4162,0.712,0.727,4,-5.22,0,0.0362,0.263,0.000257,0.13,0.492,145.014,178767,2016,55,Slushii
4163,0.559,0.843,8,-5.292,1,0.0524,0.106,0,0.0663,0.713,90.942,174529,2016,0,The Mowgli's
4164,0.645,0.795,11,-4.914,1,0.0985,0.0432,0,0.0491,0.779,197.683,227240,2016,51,Dawin
4167,0.625,0.404,7,-9.813,1,0.0299,0.775,0,0.137,0.525,95.793,199013,2016,0,Shawn Mendes
4168,0.654,0.936,11,-2.421,1,0.133,0.257,0,0.156,0.45,95.96,198200,2016,30,Britt Nicole
4169,0.684,0.705,11,-5.089,0,0.0354,0.00295,0.000391,0.246,0.275,87.998,223890,2016,42,Coyote Kisses
4170,0.621,0.807,9,-6.201,0,0.11,0.0235,0.00225,0.107,0.396,130.035,234948,2016,18,MOONZz
4171,0.648,0.733,9,-7.803,0,0.0306,0.108,0.00473,0.113,0.752,96.003,230693,2016,3,Glass Animals
4172,0.805,0.839,1,-4.035,0,0.0501,0.0164,1.22E-06,0.311,0.923,125.034,232360,2016,52,Flo Rida
4173,0.457,0.899,10,-2.591,0,0.132,0.0019,0,0.831,0.298,147.268,215510,2016,61,Skrillex
4174,0.502,0.786,9,-4.378,0,0.317,0.255,0,0.65,0.739,169.021,243491,2016,70,Lil Wayne
4175,0.737,0.476,4,-5.825,0,0.0262,0.0908,5.39E-05,0.0968,0.555,90.028,195743,2016,65,Twenty One Pilots
4176,0.642,0.901,1,-3.688,0,0.0773,0.0168,1.97E-06,0.0887,0.352,100.039,202145,2016,58,Action Bronson
4177,0.439,0.447,10,-8.318,0,0.0436,0.111,0,0.303,0.11,121.48,177029,2016,71,Kehlani
4178,0.644,0.641,7,-7.501,0,0.305,0.403,0,0.5,0.56,127.824,207876,2016,60,Kevin Gates
4179,0.328,0.633,7,-5.699,1,0.0761,0.183,1.44E-06,0.0703,0.297,186.598,198711,2016,7,SAYGRACE
4180,0.914,0.64,7,-3.512,1,0.0738,0.00365,0,0.258,0.655,112.254,295827,2016,6,Eminem
4181,0.607,0.827,1,-3.402,1,0.0464,0.00844,6.31E-06,0.336,0.0959,110.917,228947,2016,58,Skylar Grey
4182,0.606,0.887,1,-6.085,1,0.0814,0.00712,0.843,0.217,0.539,155.994,180272,2016,52,Grimes
4183,0.386,0.562,10,-4.363,1,0.03,0.175,9.17E-06,0.209,0.228,72.945,363114,2016,64,Panic! At The Disco
4184,0.525,0.505,9,-12.494,1,0.0778,0.146,0.0175,0.119,0.715,179.638,227533,2016,2,War
4185,0.645,0.686,0,-7.242,1,0.0442,0.14,0.0095,0.365,0.65,132.563,138067,2016,4,Creedence Clearwater Revival
4186,0.199,0.25,7,-14.521,1,0.0395,0.897,0.716,0.182,0.0331,108.855,190136,2016,51,ConfidentialMX
4187,0.667,0.72,9,-7.026,0,0.11,0.351,4.26E-06,0.138,0.242,101.964,197816,2016,3,Tove Lo
4188,0.649,0.716,8,-5.371,1,0.0349,0.0863,2.63E-05,0.135,0.163,99.988,205947,2016,82,DJ Snake
4189,0.64,0.839,11,-4.924,0,0.0754,0.042,0.000204,0.21,0.765,108.816,225200,2016,31,M.O
4190,0.754,0.456,2,-5.874,1,0.0427,0.231,0,0.234,0.528,112.529,234797,2016,31,Britney Spears
4191,0.687,0.774,5,-3.851,1,0.0448,0.193,1.28E-06,0.102,0.763,148.05,194595,2016,52,Afrojack
4192,0.468,0.438,10,-8.227,1,0.0697,0.563,0,0.181,0.344,108.367,206080,2016,72,Marc E. Bassy
4193,0.553,0.639,11,-6.445,1,0.0458,0.0468,0,0.107,0.442,101.418,203475,2016,66,Katy Perry
4194,0.705,0.695,11,-3.359,1,0.113,0.0112,0,0.691,0.44,169.987,217373,2016,58,DJ Snake
4195,0.542,0.774,11,-5.11,0,0.0644,0.00159,0.000513,0.259,0.203,83.972,203503,2016,31,XYLÌ÷
4196,0.5,0.882,6,-4.103,1,0.0377,0.00761,0,0.187,0.191,125.856,207691,2016,48,Galantis
4197,0.509,0.458,6,-11.085,1,0.0357,0.529,0.029,0.107,0.192,95.056,208421,2016,43,Ta-ku
4198,0.826,0.692,0,-7.342,1,0.0877,0.115,0.00034,0.0837,0.682,99.991,239968,2016,44,Shaggy
4199,0.786,0.693,3,-5.74,1,0.0488,0.257,0,0.115,0.428,127.973,231427,2016,44,The Band Perry
4200,0.799,0.628,4,-6.914,0,0.0432,0.0513,7.95E-05,0.159,0.467,115.994,222413,2016,48,DJ Snake
4202,0.673,0.789,0,-4.288,1,0.0408,0.00975,0,0.752,0.841,100.043,197427,2016,25,Young the Giant
4203,0.768,0.654,11,-6.223,0,0.0762,0.203,0.000235,0.168,0.543,102.01,186333,2016,40,BANKS
4204,0.585,0.895,0,-5.131,0,0.0486,0.0251,0.102,0.12,0.578,119.951,256440,2016,34,Warpaint
4205,0.552,0.907,2,-6.471,1,0.0351,0.0525,0.0454,0.122,0.548,126.995,253165,2016,51,Michael Brun
4206,0.64,0.702,11,-5.149,0,0.0337,0.164,4.71E-05,0.111,0.161,114.965,185067,2016,0,Joseph
4207,0.516,0.289,8,-10.908,1,0.0287,0.803,0.199,0.115,0.424,87.972,195800,2016,0,Hamilton Leithauser + Rostam
4208,0.471,0.641,7,-5.843,0,0.102,0.0998,1.30E-05,0.107,0.17,83.533,206853,2016,0,Tayler Buono
4209,0.727,0.62,5,-6.577,0,0.0331,0.432,0.000104,0.0794,0.497,110.013,216989,2016,21,Janelle Kroll
