,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,year,popularity
157,0.573,0.704,8,-7.45,0,0.297,0.0499,0,0.0821,0.371,76.409,199173,2013,0
158,0.496,0.645,7,-6.369,1,0.196,0.282,0,0.135,0.764,144.707,245773,2013,18
159,0.683,0.606,1,-7.057,1,0.0476,0.158,0,0.11,0.369,131.926,211827,2013,54
160,0.869,0.687,1,-6.816,1,0.263,0.0208,1.00E-06,0.114,0.668,96.006,233787,2013,16
161,0.603,0.701,11,-4.495,0,0.188,0.183,0,0.193,0.603,145.346,373693,2013,0
162,0.503,0.795,10,-4.505,1,0.335,0.178,0,0.042,0.265,149.981,289707,2012,37
163,0.462,0.843,4,-4.903,0,0.135,0.201,0,0.434,0.494,153.877,202173,2012,30
164,0.671,0.738,10,-5.328,0,0.072,0.0112,0,0.286,0.212,143.161,248227,2012,29
165,0.712,0.758,9,-4.835,1,0.26,0.343,0,0.141,0.903,140.02,266000,2011,48
166,0.629,0.853,0,-4.36,1,0.104,0.00189,0,0.34,0.373,78.033,320160,2010,0
167,0.767,0.83,5,-5.188,0,0.211,0.188,0,0.0755,0.884,150.049,272438,2010,14
168,0.577,0.523,9,-11.275,1,0.25,0.000757,0,0.332,0.246,106.231,200013,2010,0
169,0.651,0.888,11,-3.821,1,0.295,0.375,0,0.299,0.371,97.946,279307,2010,3
170,0.854,0.671,11,-6.303,1,0.254,0.176,0,0.261,0.366,104.038,193893,2009,0
171,0.569,0.759,6,-6.412,0,0.173,0.0687,0,0.356,0.154,153.923,345987,2010,11
172,0.417,0.764,1,-5.364,1,0.458,0.0494,0,0.156,0.525,159.952,264120,2010,31
173,0.69,0.76,0,-4.778,1,0.0587,0.0678,0,0.184,0.468,89.958,247933,2009,48
174,0.708,0.578,6,-8.686,1,0.0631,0.0095,0,0.353,0.696,133.03,258587,2009,35
175,0.618,0.727,3,-7.224,0,0.208,0.0312,0,0.196,0.401,164.992,180520,2016,61
176,0.699,0.673,2,-6.337,1,0.158,0.00595,0,0.459,0.231,124.978,308333,2013,0
177,0.733,0.664,8,-6.163,1,0.295,0.102,0,0.191,0.557,148.005,288133,2009,3
178,0.459,0.925,5,-1.327,0,0.35,0.248,0,0.174,0.533,104.855,357920,2009,2
179,0.605,0.744,4,-5.5,1,0.252,0.00291,0,0.319,0.743,76.171,313400,2009,0
180,0.778,0.66,1,-9.508,1,0.496,0.074,0,0.282,0.743,118.377,247547,2008,0
181,0.495,0.579,9,-7.474,1,0.158,0.00097,0,0.299,0.22,104.267,221753,2011,0
