danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,year,popularity
0.474,0.473,2,-11.454,1,0.0601,0.545,1.25E-06,0.0356,0.561,77.583,1970,65
0.411,0.381,11,-12.361,1,0.0286,0.13,0.257,0.132,0.524,76.963,1970,66
0.611,0.47,4,-9.135,1,0.0356,0.579,0,0.581,0.97,85.527,1970,71
0.572,0.786,8,-8.469,1,0.0642,0.519,0.00093,0.11,0.952,188.115,1970,14
0.67,0.619,0,-10.365,0,0.0323,0.0514,0,0.0492,0.807,108.826,1970,26
0.338,0.767,9,-11.51,1,0.0742,0.00344,0.00318,0.0384,0.516,154.97,1970,9
0.404,0.903,1,-3.88,1,0.0668,0.577,0.297,0.287,0.498,115.672,1970,23
0.484,0.508,0,-9.308,1,0.0364,0.376,0.000791,0.0961,0.554,151.867,1970,30
0.495,0.343,7,-11.549,1,0.0355,0.61,9.45E-05,0.101,0.453,135.882,1970,76
0.538,0.704,1,-8.904,0,0.0332,0.0794,0,0.0867,0.583,120.963,1970,77
0.741,0.697,0,-7.028,1,0.0277,0.0664,2.28E-05,0.133,0.774,116.109,1970,80
0.519,0.483,9,-12.795,0,0.0277,0.139,0.000218,0.365,0.772,171.028,1971,62
0.546,0.859,7,-9.745,1,0.0401,0.0574,0,0.0855,0.742,143.677,1971,1
0.61,0.582,0,-10.422,1,0.044,0.119,3.76E-05,0.12,0.781,82.492,1971,14
0.624,0.257,5,-13.341,1,0.0444,0.93,7.56E-05,0.138,0.681,85.617,1971,58
0.665,0.65,8,-6.116,1,0.031,0.457,0.00176,0.202,0.928,98.094,1971,66
0.453,0.213,4,-13.656,1,0.0279,0.554,3.68E-06,0.0506,0.0955,64.177,1971,16
0.453,0.464,2,-10.96,1,0.0431,0.302,5.96E-05,0.152,0.658,93.19,1971,72
0.4,0.0897,0,-19.012,1,0.0288,0.938,0.000521,0.0847,0.24,70.387,1971,47
0.354,0.731,2,-9.178,1,0.0381,0.0817,0.00119,0.115,0.698,170.64,1971,68
0.633,0.934,0,-3.594,1,0.0344,0.219,0.00021,0.0592,0.963,128.606,1971,12
0.689,0.83,8,-8.774,1,0.0954,0.539,0,0.0882,0.815,140.732,1971,10
0.489,0.724,5,-8.367,1,0.0352,0.313,0.185,0.287,0.15,117.292,1971,24
0.412,0.523,2,-10.714,1,0.0335,0.115,7.34E-06,0.314,0.294,128.592,1971,61
0.547,0.257,0,-12.358,1,0.0252,0.907,0.183,0.0935,0.169,75.752,1971,79
0.489,0.389,4,-11.653,0,0.0284,0.877,0.32,0.105,0.254,131.366,1971,68
0.322,0.655,2,-11.803,1,0.0354,0.103,4.01E-06,0.126,0.756,177.445,1971,62
0.61,0.297,2,-14.956,1,0.0304,0.838,9.04E-06,0.107,0.543,99.96,1971,43
0.415,0.425,0,-11.082,1,0.0278,0.396,0.000407,0.143,0.281,145.234,1971,22
0.547,0.308,0,-11.75,1,0.0377,0.505,0,0.109,0.41,114.719,1971,67
0.681,0.373,2,-13.2,1,0.0568,0.633,0.00113,0.0751,0.623,123.423,1972,67
0.591,0.781,11,-9.68,1,0.192,0.0677,0,0.294,0.709,109.481,1972,14
0.659,0.678,0,-8.18,1,0.0313,0.157,6.69E-06,0.0784,0.647,106.186,1972,77
0.627,0.17,0,-19.071,1,0.0452,0.875,0.0479,0.118,0.386,108.839,1972,1
0.613,0.187,11,-17.082,0,0.0289,0.916,0.223,0.106,0.43,95.284,1972,1
0.429,0.668,4,-7.539,0,0.044,0.208,0,0.538,0.398,77.737,1972,64
0.434,0.885,4,-7.367,1,0.0396,0.204,0,0.0811,0.843,93.999,1972,69
0.719,0.768,1,-7.528,0,0.0766,0.54,1.59E-05,0.146,0.772,125.315,1972,74
0.305,0.849,9,-4.892,1,0.0999,0.548,0.000134,0.0995,0.555,134.287,1972,65
0.626,0.816,9,-10.593,1,0.13,0.237,1.80E-06,0.104,0.798,105.33,1972,73
0.746,0.273,5,-16.63,1,0.0573,0.606,0.0168,0.0526,0.502,101.952,1972,25
0.598,0.673,2,-10.431,1,0.0693,0.0422,6.84E-05,0.289,0.59,102.035,1972,7
0.601,0.532,10,-9.119,1,0.0286,0.432,6.25E-06,0.0925,0.341,136.571,1972,29
0.498,0.593,7,-11.72,1,0.0985,0.0476,3.42E-06,0.332,0.466,79.47,1972,11
0.556,0.61,11,-11.227,0,0.035,0.0408,0.000266,0.0474,0.736,144.092,1972,17
0.675,0.849,0,-9.68,1,0.0386,0.409,1.31E-05,0.0916,0.965,104.765,1972,26
0.4,0.267,10,-12.488,1,0.0323,0.744,0.00734,0.103,0.0872,144.799,1972,70
0.575,0.318,0,-16.729,1,0.109,0.683,0.000202,0.0934,0.385,104.522,1972,76
0.461,0.734,1,-9.379,1,0.0374,0.00079,0.00554,0.22,0.423,120.55,1973,11
0.279,0.852,7,-7.838,1,0.0511,0.0119,0.076,0.0624,0.438,117.418,1973,19
0.596,0.448,5,-9.616,1,0.0396,0.365,5.30E-06,0.206,0.796,83.293,1973,20
0.772,0.794,9,-9.208,0,0.0632,0.126,0.000553,0.322,0.638,116.959,1973,65
0.425,0.767,6,-8.646,1,0.0413,0.0504,0.000138,0.168,0.442,120.539,1973,5
0.556,0.757,9,-7.677,1,0.0826,0.676,6.73E-05,0.228,0.807,133.377,1973,2
0.228,0.625,9,-8.534,1,0.029,0.078,3.70E-06,0.0613,0.434,149.243,1973,2
0.424,0.446,5,-9.618,1,0.0525,0.394,3.78E-06,0.16,0.794,165.158,1973,77
0.547,0.82,8,-6.728,1,0.0805,0.261,0,0.3,0.933,118.208,1973,77
0.498,0.831,4,-6.973,1,0.189,0.23,0,0.362,0.771,127.61,1973,52
0.621,0.8,4,-7.284,0,0.0344,0.0263,1.51E-05,0.0591,0.968,149.91,1973,12
0.513,0.396,7,-13.061,1,0.0299,0.251,0.177,0.11,0.229,140.208,1973,75
0.311,0.832,1,-8.29,1,0.0357,0.486,0.00128,0.235,0.933,178.873,1973,17
0.51,0.974,0,-6.305,1,0.0422,0.012,0.114,0.0832,0.954,152.724,1973,16
0.669,0.671,0,-7.996,1,0.0524,0.249,1.18E-05,0.521,0.739,132.588,1973,5
0.479,0.601,7,-8.806,1,0.0318,0.0832,0.00142,0.11,0.669,124.966,1973,15
0.208,0.837,9,-10.944,1,0.0587,0.00402,0.0379,0.121,0.699,157.016,1974,62
0.727,0.387,1,-12.333,1,0.0412,0.248,0.0102,0.0625,0.966,160.395,1974,5
0.489,0.398,2,-12.724,0,0.0332,0.696,0.0197,0.0958,0.681,124.326,1974,0
0.716,0.753,3,-12.407,1,0.0368,0.0532,0.000619,0.183,0.952,113.404,1974,50
0.551,0.362,7,-15.089,1,0.0297,0.63,0,0.0698,0.632,105.848,1974,32
0.441,0.926,2,-4.736,1,0.046,0.423,3.38E-06,0.235,0.779,147.564,1974,58
0.488,0.493,2,-9.878,1,0.0464,0.255,0.000181,0.102,0.389,135.093,1974,54
0.637,0.763,8,-7.572,1,0.11,0.66,0.00286,0.181,0.9,95.999,1974,45
0.674,0.537,1,-10.971,0,0.0363,0.566,0,0.131,0.809,110.578,1974,77
0.446,0.142,9,-13.498,1,0.0335,0.96,0.00114,0.101,0.156,135.724,1974,64
0.596,0.605,7,-12.145,1,0.0255,0.181,0.000331,0.0863,0.886,97.798,1974,83
0.271,0.642,2,-10.475,1,0.0384,0.00434,0.0781,0.118,0.819,186.366,1974,60
0.432,0.425,9,-12.165,1,0.0918,0.312,3.19E-06,0.105,0.589,144.822,1974,61
0.45,0.341,7,-14.218,1,0.0327,0.0364,0.000284,0.0405,0.366,118.782,1974,54
0.776,0.794,6,-7.722,1,0.0723,0.133,2.35E-05,0.689,0.845,109.277,1974,58
0.791,0.734,5,-5.464,1,0.0629,0.522,0.00165,0.167,0.962,105.854,1975,73
0.769,0.367,2,-16.781,1,0.0305,0.00696,0,0.0619,0.891,105.59,1975,4
0.405,0.366,5,-8.596,1,0.0303,0.825,0.804,0.107,0.116,116.837,1975,10
0.67,0.527,0,-12.701,1,0.028,0.126,2.75E-05,0.158,0.858,118.327,1975,48
0.75,0.754,2,-6.999,1,0.0327,0.287,0.000207,0.444,0.83,137.533,1975,65
0.637,0.619,10,-11.401,1,0.0321,0.0523,0.007,0.146,0.617,113.32,1975,62
0.486,0.241,4,-17.337,1,0.0366,0.413,3.51E-05,0.0928,0.614,106.574,1975,64
0.421,0.661,9,-13.126,1,0.0433,0.414,1.16E-06,0.0962,0.554,100.965,1975,67
0.716,0.363,7,-10.942,1,0.0327,0.906,1.41E-05,0.135,0.648,96.639,1975,47
0.632,0.556,9,-10.138,1,0.0288,0.29,0.0215,0.0779,0.633,104.996,1975,66
0.38,0.76,9,-10.961,1,0.0378,0.00298,0.0294,0.104,0.491,99.437,1975,75
0.27,0.944,4,-4.199,1,0.0975,0.00501,2.05E-05,0.116,0.606,146.347,1975,75
0.369,0.758,5,-5.871,1,0.0364,0.623,1.78E-05,0.531,0.663,140.71,1975,68
0.815,0.372,7,-12.814,1,0.0752,0.166,0.000116,0.0767,0.293,101.684,1975,71
0.831,0.683,0,-7.403,1,0.0285,0.678,0.00197,0.332,0.948,92.31,1975,63
0.51,0.76,0,-6.995,1,0.0411,0.148,0.0116,0.0706,0.55,118.829,1975,11
0.717,0.665,9,-9.503,1,0.0523,0.0659,0,0.326,0.774,105.693,1975,63
0.637,0.421,9,-14.327,1,0.252,0.654,0,0.369,0.779,87.507,1975,52
0.662,0.585,8,-10.238,0,0.101,0.531,1.08E-05,0.443,0.829,89.212,1975,48
0.197,0.798,2,-7.334,1,0.0656,0.000545,0.414,0.187,0.525,175.068,1976,64
0.524,0.904,9,-7.657,0,0.211,0.428,0.00974,0.325,0.607,100.148,1976,4
0.335,0.303,9,-10.943,1,0.0315,0.932,0.0271,0.0907,0.186,114.224,1976,0
0.325,0.674,11,-14.169,0,0.0397,0.00608,0.172,0.917,0.696,83.18,1976,13
0.814,0.672,9,-12.068,1,0.0619,0.0435,0,0.061,0.933,109.394,1976,69
