,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,year,popularity
101,0.62,0.506,7,-7.327,1,0.0312,0.187,1.47E-05,0.102,0.275,126.015,285560,2012,53
102,0.613,0.764,2,-6.509,1,0.136,0.0527,0,0.197,0.417,160.015,208187,2017,70
103,0.649,0.589,2,-6.237,1,0.0558,0.00845,0,0.108,0.151,159.073,244827,2017,70
104,0.696,0.602,0,-6.156,0,0.159,0.0679,2.11E-05,0.0696,0.305,82.989,238253,2017,68
105,0.615,0.534,9,-6.719,0,0.0386,0.106,1.76E-05,0.0607,0.193,135.917,236413,2017,67
106,0.75,0.404,9,-10.178,0,0.0682,0.216,0.000357,0.0911,0.0499,95.045,232253,2017,77
107,0.766,0.709,9,-6.471,0,0.123,0.204,1.41E-05,0.126,0.506,128.07,211853,2017,70
108,0.574,0.61,2,-7.283,1,0.0732,0.122,1.10E-06,0.13,0.374,74.957,227907,2017,64
109,0.8,0.535,7,-6.684,1,0.135,0.0713,9.48E-06,0.213,0.451,92.027,209680,2017,67
110,0.562,0.689,2,-6.745,1,0.127,0.00465,2.23E-06,0.0888,0.351,172.054,233627,2017,67
111,0.675,0.703,0,-7.902,1,0.0382,0.00882,2.21E-06,0.0391,0.314,110.01,214320,2017,65
112,0.624,0.691,0,-6.686,0,0.196,0.0604,1.10E-05,0.138,0.284,160.024,211507,2017,64
113,0.719,0.469,0,-8.792,1,0.0533,0.0329,0,0.169,0.0851,120.085,230373,2017,65
114,0.567,0.789,5,-5.986,1,0.115,0.0156,0,0.382,0.438,163.96,207133,2017,64
115,0.598,0.504,9,-9.874,1,0.0731,0.186,0.000221,0.34,0.252,163.954,203507,2017,66
116,0.661,0.151,0,-12.864,1,0.0354,0.921,0,0.13,0.23,94.922,235467,2017,64
117,0.535,0.777,4,-3.292,1,0.207,0.0187,1.62E-06,0.136,0.664,171.72,215107,2018,51
118,0.664,0.447,0,-8.404,1,0.0341,0.577,0,0.0968,0.431,90.976,228461,2018,58
119,0.641,0.444,6,-6.482,1,0.0239,0.412,0.00121,0.179,0.588,107.081,187824,2018,61
120,0.565,0.255,0,-10.152,1,0.0314,0.646,0,0.127,0.174,57.964,265307,2012,47
121,0.654,0.655,11,-7.388,0,0.106,0.0294,0,0.139,0.221,170.16,200107,2015,65
122,0.491,0.703,7,-4.5,1,0.0319,0.0307,5.72E-06,0.167,0.344,157.988,242480,2011,51
123,0.702,0.77,5,-5.319,1,0.0372,0.31,0,0.149,0.685,116.009,208253,2008,61
124,0.625,0.206,7,-12.568,1,0.0285,0.646,0,0.0915,0.392,79.466,184253,2008,50
125,0.759,0.509,5,-6.593,1,0.0271,0.159,0,0.153,0.75,107.948,158600,2008,52
126,0.423,0.311,7,-7.581,1,0.0319,0.621,0,0.0987,0.134,119.546,209893,2008,48
127,0.689,0.793,7,-4.838,1,0.0356,0.298,0,0.107,0.506,122.879,232147,2008,50
128,0.562,0.392,9,-9.014,1,0.0287,0.587,0,0.224,0.514,145.792,154000,2008,49
129,0.664,0.316,5,-10.345,1,0.519,0.298,2.03E-06,0.0812,0.541,92.875,170640,2019,82
