,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,year,popularity,artist
1999,0.482,0.574,11,-7.963,1,0.028,0.00382,0.08,0.123,0.184,119.994,246000,2014,61,Coldplay
2001,0.439,0.322,9,-5.959,1,0.028,0.692,0,0.103,0.16,77.963,232587,2014,3,Ariana Grande
2002,0.558,0.847,1,-2.031,1,0.0699,0.0152,0,0.0402,0.593,128.015,179507,2014,1,Timeflies
2004,0.494,0.951,9,-4.237,1,0.132,0.000569,0,0.327,0.441,160.025,202496,2014,71,5 Seconds of Summer
2009,0.677,0.854,2,-3.463,1,0.0304,0.0134,5.38E-05,0.122,0.593,105.012,195667,2014,44,Cher Lloyd
2014,0.555,0.727,6,-4.202,1,0.0388,0.0579,7.52E-06,0.0937,0.739,82.142,223120,2014,13,Hozier
2015,0.249,0.97,1,-5.879,1,0.121,0.0226,0.13,0.0701,0.26,165.059,166480,2014,43,Benjamin Booker
2029,0.562,0.84,0,-5.621,1,0.0911,0.0832,1.70E-05,0.0947,0.609,154.612,226368,2014,7,Quiet Life
2031,0.546,0.816,4,-7.107,0,0.0444,0.322,0,0.084,0.962,182.932,191920,2014,0,JP Harris and the Tough Choices
2037,0.633,0.704,4,-7.412,1,0.0589,0.47,0.00047,0.378,0.742,98.584,122750,2014,35,Joseph LeMay
2039,0.592,0.722,7,-6.851,1,0.0353,0.058,0.366,0.14,0.621,110.278,171259,2014,2,St. Paul & The Broken Bones
2054,0.675,0.88,0,-3.186,0,0.0793,0.286,0.0449,0.0567,0.744,180.055,148121,2014,30,Arum Rae
2055,0.719,0.576,8,-6.363,1,0.224,0.575,1.03E-05,0.162,0.429,85.035,208213,2014,38,Caught A Ghost
2068,0.679,0.789,0,-8.184,1,0.0414,0.292,0.000562,0.108,0.962,164.345,172507,2014,0,Nick Waterhouse
2073,0.772,0.862,4,-6.775,0,0.0486,0.0195,7.28E-05,0.122,0.885,131.068,131880,2014,0,Justin Townes Earle
2074,0.585,0.785,9,-7.787,1,0.0262,0.329,0.00981,0.0787,0.569,97.982,197453,2014,0,Luke Winslow-King
2078,0.409,0.669,7,-6.768,1,0.0991,0.463,0,0.0608,0.479,165.415,213800,2014,0,Jamestown Revival
2081,0.556,0.866,6,-5.806,1,0.0338,0.00768,0.00275,0.149,0.775,126.027,160549,2014,25,Rachel Goodrich
2082,0.555,0.818,9,-6.208,1,0.0331,0.0171,2.45E-06,0.0569,0.55,137.155,228360,2014,0,Larkin Poe
2083,0.686,0.802,0,-7.582,1,0.0961,0.208,0,0.215,0.861,110.651,160707,2014,1,The Howlin' Brothers
2090,0.343,0.737,9,-6.025,1,0.0349,0.0265,2.98E-05,0.345,0.664,160.668,213173,2014,3,Eliot Bronson
2095,0.721,0.496,4,-7.609,1,0.0393,0.224,0.00253,0.192,0.683,136.663,163347,2014,0,Nick Waterhouse
2098,0.846,0.744,4,-5.738,1,0.0548,0.353,0.000124,0.19,0.805,114.405,206085,2014,0,The Hello Strangers
2101,0.685,0.609,7,-7.4,1,0.0248,0.308,4.17E-06,0.298,0.546,96.022,156987,2014,43,Asaf Avidan
2102,0.524,0.563,1,-6.431,0,0.0394,0.553,0,0.168,0.239,109.198,188222,2014,12,The Rosebuds
2103,0.594,0.706,7,-7.343,1,0.0291,0.515,0.00789,0.114,0.906,91.655,182800,2014,1,Bahamas
2104,0.625,0.886,2,-4.84,1,0.0394,0.00206,5.15E-05,0.388,0.826,125.951,190589,2014,0,Cory Branan
2110,0.745,0.645,11,-5.336,0,0.0324,0.386,1.23E-06,0.103,0.492,140.036,161424,2014,14,Sons Of Fathers
2111,0.527,0.516,7,-6.559,1,0.0262,0.022,0.000394,0.101,0.582,77.038,212787,2014,0,Hard Working Americans
2113,0.553,0.599,8,-5.446,0,0.0458,0.443,7.79E-06,0.105,0.683,167.88,204787,2014,25,Lake Street Dive
2119,0.458,0.789,7,-6.586,1,0.205,0.407,0.000175,0.0971,0.914,155.355,169400,2014,6,Christopher Denny
2120,0.442,0.876,6,-6.065,1,0.0344,0.00561,0.0735,0.121,0.278,89.354,225099,2014,0,Pete Molinari
2122,0.208,0.941,9,-4.608,1,0.0597,0.00449,0.82,0.891,0.577,170.925,235953,2014,11,Futurebirds
2125,0.753,0.486,5,-9.536,0,0.0311,0.0104,0.000546,0.0925,0.866,117.818,168893,2014,0,Nick Waterhouse
2175,0.407,0.725,5,-5.346,0,0.188,0.0141,2.46E-06,0.306,0.247,196.093,247267,2014,10,DJ Snake
2176,0.743,0.72,11,-3.753,1,0.124,0.192,0.000386,0.109,0.519,163.99,209423,2014,52,Iggy Azalea
2178,0.711,0.774,0,-3.391,0,0.0922,0.259,0,0.371,0.715,150.032,199387,2014,15,Jessie J
2190,0.445,0.121,3,-18.757,0,0.0339,0.844,0.00112,0.0842,0.125,129.437,257000,2014,32,Phoria
2211,0.213,0.366,8,-11.161,1,0.0305,0.723,0.0465,0.244,0.119,140.559,245495,2014,9,Farewell J.R
