danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,year,popularity
0.432,0.781,4,-4.038,0,0.0567,0.041,4.21E-06,0.0789,0.197,139.432,2015,77
0.331,0.614,5,-5.588,0,0.0586,0.0668,1.28E-05,0.108,0.201,139.849,2015,60
0.638,0.52,7,-6.708,1,0.0271,0.654,1.18E-05,0.24,0.537,95.92,2015,51
0.539,0.668,3,-6.625,1,0.0523,0.532,0,0.11,0.328,81.96,2015,43
0.633,0.373,11,-8.82,1,0.0294,0.365,0,0.102,0.183,109.985,2015,44
0.477,0.788,10,-5.472,1,0.082,0.409,0,0.194,0.377,138.217,2015,50
0.49,0.798,6,-3.66,1,0.0489,0.0137,0,0.0627,0.479,149.109,2015,69
0.243,0.804,2,-7.027,1,0.0811,0.00614,0.000682,0.973,0.402,171.775,2015,41
0.62,0.828,10,-4.685,1,0.0413,0.00557,0.000102,0.156,0.564,122.042,2015,10
0.764,0.428,0,-12.075,0,0.0404,0.0698,0.000272,0.0822,0.657,113.983,2015,9
0.69,0.732,6,-5.499,1,0.0444,0.0214,0,0.0579,0.661,129.875,2015,1
0.768,0.567,2,-7.046,0,0.0312,0.66,0.000277,0.07,0.471,117.974,2015,21
0.699,0.883,5,-3.226,0,0.219,0.0288,0,0.817,0.499,127.961,2015,72
0.818,0.858,1,-4.219,0,0.0398,0.0642,0.256,0.256,0.753,119.605,2015,3
0.415,0.837,4,-3.324,1,0.0531,0.218,0,0.124,0.757,154.503,2015,19
0.619,0.748,7,-5.961,1,0.033,0.0656,1.86E-05,0.241,0.299,114.983,2015,48
0.734,0.535,3,-7.674,0,0.2,0.623,0.0111,0.108,0.418,80.048,2015,56
0.55,0.705,2,-3.012,1,0.0357,0.114,0,0.137,0.376,90.044,2015,50
0.712,0.806,5,-6.044,1,0.0617,0.52,0,0.327,0.456,128.02,2015,27
0.539,0.65,2,-5.839,0,0.0343,0.0558,0,0.281,0.232,128.051,2015,26
0.58,0.557,1,-8.902,1,0.0745,0.169,4.95E-05,0.185,0.407,166.028,2015,41
0.671,0.585,1,-7.839,1,0.0391,0.0595,3.50E-05,0.156,0.211,96.008,2015,38
0.739,0.531,10,-8.152,0,0.0551,0.334,0.411,0.0793,0.633,121.995,2015,33
0.516,0.808,3,-6.326,0,0.124,0.000767,0,0.31,0.786,94.946,2015,48
0.722,0.63,3,-5.784,0,0.132,0.0485,0.000294,0.179,0.519,150.023,2015,61
0.689,0.481,10,-7.503,1,0.0815,0.369,1.03E-06,0.0649,0.283,80.025,2015,19
0.6,0.327,5,-11.37,1,0.0302,0.628,0.00369,0.12,0.385,139.96,2015,27
0.565,0.755,8,-4.55,0,0.0389,0.255,0,0.121,0.53,111.779,2015,33
0.859,0.51,11,-5.986,1,0.0378,0.523,0,0.0851,0.8,94.987,2015,38
0.463,0.844,7,-5.372,1,0.0462,0.238,2.94E-06,0.474,0.798,186.939,2015,32
0.659,0.906,7,-3.906,0,0.0428,0.156,3.27E-06,0.105,0.792,94.997,2015,60
0.65,0.957,9,-3.4,0,0.0439,0.0102,0.0125,0.193,0.877,128.009,2015,51
0.708,0.533,6,-7.148,0,0.104,0.172,0.0404,0.112,0.536,78.039,2015,53
0.872,0.771,7,-9.176,1,0.542,0.637,0,0.109,0.537,80.07,2015,50
0.77,0.315,9,-9.943,0,0.0692,0.504,0.00782,0.0952,0.0954,82.948,2015,46
0.28,0.829,0,-6.332,1,0.0875,0.0451,0,0.354,0.483,159.1,2015,32
0.728,0.554,10,-6.868,1,0.0278,0.583,0.0142,0.101,0.785,133.08,2015,30
0.221,0.874,6,-4.412,1,0.0493,3.42E-05,0.000272,0.359,0.552,191.001,2015,42
0.586,0.702,5,-5.793,1,0.0338,0.726,0,0.102,0.131,91.032,2015,0
0.345,0.724,5,-7.521,0,0.0444,0.048,0.00026,0.413,0.381,110.148,2015,49
0.614,0.812,7,-5.849,0,0.0416,0.263,1.14E-05,0.102,0.726,120.019,2015,53
0.765,0.767,0,-8.125,1,0.0301,0.374,2.00E-05,0.0949,0.552,120.418,2015,51
0.573,0.746,4,-4.921,1,0.0286,0.171,0.000187,0.276,0.271,130.004,2015,51
0.342,0.523,5,-5.81,1,0.0267,0.238,1.24E-05,0.109,0.223,174.713,2015,1
0.336,0.664,7,-5.68,1,0.102,0.166,1.31E-06,0.0575,0.294,186.394,2015,62
0.575,0.831,0,-5.972,1,0.0356,0.00406,0.000449,0.111,0.377,127.991,2015,68
0.464,0.931,4,-4.543,0,0.163,0.00191,1.05E-05,0.323,0.642,123.413,2015,45
0.715,0.715,5,-7.364,1,0.0904,0.0526,0,0.0936,0.506,134.923,2015,70
0.327,0.57,4,-7.583,0,0.035,0.721,6.77E-05,0.0873,0.0966,116.805,2015,0
0.517,0.812,8,-8.412,0,0.0542,0.574,2.89E-05,0.339,0.552,94.654,2015,31
0.679,0.662,8,-6.069,0,0.174,0.155,0,0.152,0.438,99.879,2015,25
0.683,0.913,5,-5.352,1,0.035,0.0102,5.19E-05,0.274,0.854,125.039,2015,46
0.476,0.36,5,-7.033,1,0.0336,0.749,0,0.104,0.172,118.073,2015,37
0.646,0.617,8,-6.763,1,0.0259,0.455,0.00133,0.164,0.674,86.009,2015,0
0.567,0.758,1,-4.547,1,0.0291,0.469,0.00739,0.0538,0.668,132.882,2015,0
0.639,0.778,7,-6.955,0,0.041,0.117,0.000656,0.354,0.619,107.395,2015,0
0.738,0.741,2,-5.953,1,0.0507,0.224,0.00296,0.111,0.801,96.235,2015,0
0.601,0.793,5,-5.675,0,0.047,0.128,0.00405,0.151,0.82,129.603,2015,0
0.612,0.89,10,-2.827,0,0.047,0.000478,0,0.0672,0.886,118.989,2015,58
0.416,0.849,8,-3.833,1,0.0503,0.000303,4.23E-05,0.185,0.677,144.844,2015,56
0.552,0.914,4,-4.112,1,0.0399,7.12E-05,1.68E-06,0.187,0.3,113.075,2015,49
0.556,0.916,0,-5.143,1,0.0398,8.95E-05,0.00341,0.347,0.473,116.065,2015,53
0.705,0.856,9,-5.921,1,0.0423,0.0414,0.00228,0.0666,0.765,117.005,2015,48
0.402,0.97,2,-4.538,0,0.0668,1.29E-05,2.62E-06,0.189,0.476,75.106,2015,68
0.376,0.95,9,-4.067,1,0.0641,0.00021,0,0.0377,0.438,178.018,2015,68
0.453,0.911,2,-3.775,0,0.0382,0.00554,0,0.0627,0.218,137.011,2015,65
0.469,0.0142,3,-31.899,0,0.0732,0.99,0.924,0.109,0.0379,108.094,2015,5
0.537,0.97,6,-2.391,0,0.0918,0.00109,5.49E-05,0.0928,0.581,86.044,2015,65
0.466,0.844,7,-5.949,1,0.0463,0.144,3.65E-05,0.0883,0.45,154.866,2015,38
0.73,0.691,1,-8.093,0,0.0542,0.0465,0.495,0.133,0.599,108.081,2015,36
0.6,0.964,11,-5.633,1,0.0537,0.0138,0.000784,0.467,0.752,103.986,2015,0
0.506,0.793,5,-5.82,1,0.0326,0.0287,0,0.477,0.658,80.007,2015,0
0.62,0.96,0,-4.573,1,0.0734,0.00442,0.000226,0.153,0.623,102.038,2015,0
0.498,0.957,6,-3.971,1,0.058,0.000496,0.000383,0.0908,0.562,159.999,2015,0
0.519,0.981,1,-3.473,0,0.0726,0.00136,0.000155,0.0903,0.773,130.039,2015,62
0.597,0.685,11,-6.371,1,0.0367,0.0245,0.000335,0.182,0.369,122.002,2015,65
0.56,0.731,2,-6.121,1,0.0281,0.0475,0,0.282,0.401,99.981,2015,63
0.496,0.913,4,-3.286,1,0.0448,0.0101,0,0.118,0.675,165.981,2015,59
0.617,0.764,5,-6.266,1,0.036,0.595,0.233,0.113,0.233,91,2015,49
0.688,0.702,7,-4.792,0,0.0499,0.0215,0,0.128,0.74,94.006,2015,77
0.603,0.828,9,-5.664,1,0.0505,0.0616,3.26E-05,0.138,0.551,77.5,2015,53
0.682,0.897,7,-4.396,1,0.0347,0.0014,2.95E-06,0.0713,0.571,105.009,2015,27
0.733,0.565,0,-8.515,1,0.0367,0.0621,0.000324,0.104,0.35,120.006,2015,59
0.765,0.759,5,-5.589,1,0.251,0.256,0,0.0813,0.753,142.978,2015,0
0.854,0.766,9,-4.697,0,0.141,0.0242,0,0.0793,0.784,118.004,2015,70
0.737,0.76,11,-6.561,0,0.037,0.0387,0.00143,0.357,0.368,124.96,2015,21
0.572,0.906,2,-4.281,1,0.0502,0.0176,0,0.0492,0.371,99.993,2015,27
0.558,0.713,4,-8.204,0,0.471,0.213,0,0.64,0.548,76.093,2015,44
0.687,0.866,6,-3.808,0,0.0363,0.0202,8.42E-06,0.227,0.63,110.025,2015,43
0.496,0.686,4,-7.49,1,0.0702,0.148,1.26E-05,0.124,0.855,169.143,2015,0
0.746,0.754,1,-6.681,1,0.067,0.0152,0,0.0486,0.764,149.882,2015,23
0.793,0.523,7,-8.012,1,0.0305,0.503,0.0291,0.108,0.735,121.913,2015,1
0.837,0.87,2,-5.107,1,0.172,0.274,0,0.37,0.485,140.086,2015,45
0.694,0.854,7,-3.891,0,0.043,0.00614,0,0.158,0.803,112.007,2015,62
0.667,0.614,10,-4.995,1,0.0314,0.0663,0,0.111,0.161,113.979,2015,53
