,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,principal component 1,principal component 2,Drake,Maroon 5,Taylor Swift,popularity
19,1,0.729,0.748,0,-6.67,1,0.0245,0.307,1.29E-06,0.09,0.928,99.981,2012,0.531441,0.545292,0,-4.86243,0.729,0.0178605,0.223803,9.40E-07,0.06561,0.676512,72.886149,1466.748,0.559504,0,-4.98916,0.748,0.018326,0.229636,9.65E-07,0.06732,0.694144,74.785788,1504.976,0,0,0,0,0,0,0,0,0,0,44.4889,-6.67,-0.163415,-2.04769,-8.60E-06,-0.6003,-6.18976,-666.87327,-13420.04,1,0.0245,0.307,1.29E-06,0.09,0.928,99.981,2012,0.00060025,0.0075215,3.16E-08,0.002205,0.022736,2.4495345,49.294,0.094249,3.96E-07,0.02763,0.284896,30.694167,617.684,1.66E-12,1.16E-07,1.20E-06,0.000128975,0.00259548,0.0081,0.08352,8.99829,181.08,0.861184,92.782368,1867.136,9996.200361,201161.772,4048144,41313.49538,-7677.16568,0,0,1,42
20,1,0.505,0.443,2,-7.039,1,0.0276,0.035,3.15E-06,0.0921,0.123,94.069,2012,0.255025,0.223715,1.01,-3.554695,0.505,0.013938,0.017675,1.59E-06,0.0465105,0.062115,47.504845,1016.06,0.196249,0.886,-3.118277,0.443,0.0122268,0.015505,1.40E-06,0.0408003,0.054489,41.672567,891.316,4,-14.078,2,0.0552,0.07,6.30E-06,0.1842,0.246,188.138,4024,49.547521,-7.039,-0.1942764,-0.246365,-2.22E-05,-0.6482919,-0.865797,-662.151691,-14162.468,1,0.0276,0.035,3.15E-06,0.0921,0.123,94.069,2012,0.00076176,0.000966,8.69E-08,0.00254196,0.0033948,2.5963044,55.5312,0.001225,1.10E-07,0.0032235,0.004305,3.292415,70.42,9.92E-12,2.90E-07,3.87E-07,0.000296317,0.0063378,0.00848241,0.0113283,8.6637549,185.3052,0.015129,11.570487,247.476,8848.976761,189266.828,4048144,53170.68202,-3637.010624,0,0,1,42
21,1,0.627,0.816,4,-6.698,1,0.0774,0.0162,0.00208,0.0966,0.648,157.043,2012,0.393129,0.511632,2.508,-4.199646,0.627,0.0485298,0.0101574,0.00130416,0.0605682,0.406296,98.465961,1261.524,0.665856,3.264,-5.465568,0.816,0.0631584,0.0132192,0.00169728,0.0788256,0.528768,128.147088,1641.792,16,-26.792,4,0.3096,0.0648,0.00832,0.3864,2.592,628.172,8048,44.863204,-6.698,-0.5184252,-0.1085076,-0.01393184,-0.6470268,-4.340304,-1051.874014,-13476.376,1,0.0774,0.0162,0.00208,0.0966,0.648,157.043,2012,0.00599076,0.00125388,0.000160992,0.00747684,0.0501552,12.1551282,155.7288,0.00026244,3.37E-05,0.00156492,0.0104976,2.5440966,32.5944,4.33E-06,0.000200928,0.00134784,0.32664944,4.18496,0.00933156,0.0625968,15.1703538,194.3592,0.419904,101.763864,1303.776,24662.50385,315970.516,4048144,-74536.3146,-1538.50563,0,0,1,43
22,1,0.624,0.34,7,-12.411,1,0.029,0.632,0.0337,0.121,0.261,129.987,2012,0.389376,0.21216,4.368,-7.744464,0.624,0.018096,0.394368,0.0210288,0.075504,0.162864,81.111888,1255.488,0.1156,2.38,-4.21974,0.34,0.00986,0.21488,0.011458,0.04114,0.08874,44.19558,684.08,49,-86.877,7,0.203,4.424,0.2359,0.847,1.827,909.909,14084,154.032921,-12.411,-0.359919,-7.843752,-0.4182507,-1.501731,-3.239271,-1613.268657,-24970.932,1,0.029,0.632,0.0337,0.121,0.261,129.987,2012,0.000841,0.018328,0.0009773,0.003509,0.007569,3.769623,58.348,0.399424,0.0212984,0.076472,0.164952,82.151784,1271.584,0.00113569,0.0040777,0.0087957,4.3805619,67.8044,0.014641,0.031581,15.728427,243.452,0.068121,33.926607,525.132,16896.62017,261533.844,4048144,-19415.35717,9814.38275,0,0,1,40
23,1,0.706,0.499,4,-7.675,1,0.0369,0.0371,0,0.132,0.545,117.937,2012,0.498436,0.352294,2.824,-5.41855,0.706,0.0260514,0.0261926,0,0.093192,0.38477,83.263522,1420.472,0.249001,1.996,-3.829825,0.499,0.0184131,0.0185129,0,0.065868,0.271955,58.850563,1003.988,16,-30.7,4,0.1476,0.1484,0,0.528,2.18,471.748,8048,58.905625,-7.675,-0.2832075,-0.2847425,0,-1.0131,-4.182875,-905.166475,-15442.1,1,0.0369,0.0371,0,0.132,0.545,117.937,2012,0.00136161,0.00136899,0,0.0048708,0.0201105,4.3518753,74.2428,0.00137641,0,0.0048972,0.0202195,4.3754627,74.6452,0,0,0,0,0,0.017424,0.07194,15.567684,265.584,0.297025,64.275665,1096.54,13909.13597,237289.244,4048144,4857.58634,89.08947645,0,0,1,39
24,1,0.624,0.458,6,-6.755,1,0.0287,0.36,3.89E-06,0.303,0.436,80.017,2012,0.389376,0.285792,3.744,-4.21512,0.624,0.0179088,0.22464,2.43E-06,0.189072,0.272064,49.930608,1255.488,0.209764,2.748,-3.09379,0.458,0.0131446,0.16488,1.78E-06,0.138774,0.199688,36.647786,921.496,36,-40.53,6,0.1722,2.16,2.33E-05,1.818,2.616,480.102,12072,45.630025,-6.755,-0.1938685,-2.4318,-2.63E-05,-2.046765,-2.94518,-540.514835,-13591.06,1,0.0287,0.36,3.89E-06,0.303,0.436,80.017,2012,0.00082369,0.010332,1.12E-07,0.0086961,0.0125132,2.2964879,57.7444,0.1296,1.40E-06,0.10908,0.15696,28.80612,724.32,1.51E-11,1.18E-06,1.70E-06,0.000311266,0.00782668,0.091809,0.132108,24.245151,609.636,0.190096,34.887412,877.232,6402.720289,160994.204,4048144,81287.77785,3373.060758,0,0,1,61
25,1,0.649,0.777,9,-5.804,1,0.0406,0.0213,0.000335,0.221,0.587,126.018,2012,0.421201,0.504273,5.841,-3.766796,0.649,0.0263494,0.0138237,0.000217415,0.143429,0.380963,81.785682,1305.788,0.603729,6.993,-4.509708,0.777,0.0315462,0.0165501,0.000260295,0.171717,0.456099,97.915986,1563.324,81,-52.236,9,0.3654,0.1917,0.003015,1.989,5.283,1134.162,18108,33.686416,-5.804,-0.2356424,-0.1236252,-0.00194434,-1.282684,-3.406948,-731.408472,-11677.648,1,0.0406,0.0213,0.000335,0.221,0.587,126.018,2012,0.00164836,0.00086478,1.36E-05,0.0089726,0.0238322,5.1163308,81.6872,0.00045369,7.14E-06,0.0047073,0.0125031,2.6841834,42.8556,1.12E-07,7.40E-05,0.000196645,0.04221603,0.67402,0.048841,0.129727,27.849978,444.652,0.344569,73.972566,1181.044,15880.53632,253548.216,4048144,-11885.81077,6982.234049,0,0,1,42
26,1,0.53,0.526,7,-8.349,1,0.0263,0.199,3.52E-06,0.232,0.323,79.025,2012,0.2809,0.27878,3.71,-4.42497,0.53,0.013939,0.10547,1.87E-06,0.12296,0.17119,41.88325,1066.36,0.276676,3.682,-4.391574,0.526,0.0138338,0.104674,1.85E-06,0.122032,0.169898,41.56715,1058.312,49,-58.443,7,0.1841,1.393,2.46E-05,1.624,2.261,553.175,14084,69.705801,-8.349,-0.2195787,-1.661451,-2.94E-05,-1.936968,-2.696727,-659.779725,-16798.188,1,0.0263,0.199,3.52E-06,0.232,0.323,79.025,2012,0.00069169,0.0052337,9.26E-08,0.0061016,0.0084949,2.0783575,52.9156,0.039601,7.00E-07,0.046168,0.064277,15.725975,400.388,1.24E-11,8.17E-07,1.14E-06,0.000278168,0.00708224,0.053824,0.074936,18.3338,466.784,0.104329,25.525075,649.876,6244.950625,158998.3,4048144,83331.23157,6676.164168,0,0,1,57
27,1,0.472,0.3,7,-10.807,1,0.028,0.883,1.04E-05,0.0698,0.289,144.317,2012,0.222784,0.1416,3.304,-5.100904,0.472,0.013216,0.416776,4.91E-06,0.0329456,0.136408,68.117624,949.664,0.09,2.1,-3.2421,0.3,0.0084,0.2649,3.12E-06,0.02094,0.0867,43.2951,603.6,49,-75.649,7,0.196,6.181,7.28E-05,0.4886,2.023,1010.219,14084,116.791249,-10.807,-0.302596,-9.542581,-0.000112393,-0.7543286,-3.123223,-1559.633819,-21743.684,1,0.028,0.883,1.04E-05,0.0698,0.289,144.317,2012,0.000784,0.024724,2.91E-07,0.0019544,0.008092,4.040876,56.336,0.779689,9.18E-06,0.0616334,0.255187,127.431911,1776.596,1.08E-10,7.26E-07,3.01E-06,0.001500897,0.0209248,0.00487204,0.0201722,10.0733266,140.4376,0.083521,41.707613,581.468,20827.39649,290365.804,4048144,-48581.83142,8054.939905,0,0,1,66
28,1,0.598,0.724,7,-7.226,1,0.0344,0.00667,0.00187,0.0839,0.299,137.116,2012,0.357604,0.432952,4.186,-4.321148,0.598,0.0205712,0.00398866,0.00111826,0.0501722,0.178802,81.995368,1203.176,0.524176,5.068,-5.231624,0.724,0.0249056,0.00482908,0.00135388,0.0607436,0.216476,99.271984,1456.688,49,-50.582,7,0.2408,0.04669,0.01309,0.5873,2.093,959.812,14084,52.215076,-7.226,-0.2485744,-0.04819742,-0.01351262,-0.6062614,-2.160574,-990.800216,-14538.712,1,0.0344,0.00667,0.00187,0.0839,0.299,137.116,2012,0.00118336,0.000229448,6.43E-05,0.00288616,0.0102856,4.7167904,69.2128,4.45E-05,1.25E-05,0.000559613,0.00199433,0.91456372,13.42004,3.50E-06,0.000156893,0.00055913,0.25640692,3.76244,0.00703921,0.0250861,11.5040324,168.8068,0.089401,40.997684,601.588,18800.79746,275877.392,4048144,-34192.22888,4648.969962,0,0,1,51
