,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,principal component 1,principal component 2,Ariana Grande,Drake,popularity
10,1,0.665,0.809,8,-4.574,1,0.0464,0.156,0,0.0613,0.811,99.029,2013,0.442225,0.537985,5.32,-3.04171,0.665,0.030856,0.10374,0,0.0407645,0.539315,65.854285,1338.645,0.654481,6.472,-3.700366,0.809,0.0375376,0.126204,0,0.0495917,0.656099,80.114461,1628.517,64,-36.592,8,0.3712,1.248,0,0.4904,6.488,792.232,16104,20.921476,-4.574,-0.2122336,-0.713544,0,-0.2803862,-3.709514,-452.958646,-9207.462,1,0.0464,0.156,0,0.0613,0.811,99.029,2013,0.00215296,0.0072384,0,0.00284432,0.0376304,4.5949456,93.4032,0.024336,0,0.0095628,0.126516,15.448524,314.028,0,0,0,0,0,0.00375769,0.0497143,6.0704777,123.3969,0.657721,80.312519,1632.543,9806.742841,199345.377,4052169,-33078.50085,-6329.064151,1,0,49
11,1,0.585,0.831,9,-4.024,1,0.0334,0.0391,0.000144,0.104,0.28,130.059,2013,0.342225,0.486135,5.265,-2.35404,0.585,0.019539,0.0228735,8.42E-05,0.06084,0.1638,76.084515,1177.605,0.690561,7.479,-3.343944,0.831,0.0277554,0.0324921,0.000119664,0.086424,0.23268,108.079029,1672.803,81,-36.216,9,0.3006,0.3519,0.001296,0.936,2.52,1170.531,18117,16.192576,-4.024,-0.1344016,-0.1573384,-0.000579456,-0.418496,-1.12672,-523.357416,-8100.312,1,0.0334,0.0391,0.000144,0.104,0.28,130.059,2013,0.00111556,0.00130594,4.81E-06,0.0034736,0.009352,4.3439706,67.2342,0.00152881,5.63E-06,0.0040664,0.010948,5.0853069,78.7083,2.07E-08,1.50E-05,4.03E-05,0.018728496,0.289872,0.010816,0.02912,13.526136,209.352,0.0784,36.41652,563.64,16915.34348,261808.767,4052169,29823.19763,-6494.884423,1,0,47
12,1,0.503,0.8,2,-2.763,1,0.0391,0.125,0,0.109,0.789,205.95,2013,0.253009,0.4024,1.006,-1.389789,0.503,0.0196673,0.062875,0,0.054827,0.396867,103.59285,1012.539,0.64,1.6,-2.2104,0.8,0.03128,0.1,0,0.0872,0.6312,164.76,1610.4,4,-5.526,2,0.0782,0.25,0,0.218,1.578,411.9,4026,7.634169,-2.763,-0.1080333,-0.345375,0,-0.301167,-2.180007,-569.03985,-5561.919,1,0.0391,0.125,0,0.109,0.789,205.95,2013,0.00152881,0.0048875,0,0.0042619,0.0308499,8.052645,78.7083,0.015625,0,0.013625,0.098625,25.74375,251.625,0,0,0,0,0,0.011881,0.086001,22.44855,219.417,0.622521,162.49455,1588.257,42415.4025,414577.35,4052169,184115.5096,12270.546,1,0,79
13,1,0.563,0.931,11,-3.468,1,0.0912,0.0904,0,0.258,0.81,180.027,2013,0.316969,0.524153,6.193,-1.952484,0.563,0.0513456,0.0508952,0,0.145254,0.45603,101.355201,1133.319,0.866761,10.241,-3.228708,0.931,0.0849072,0.0841624,0,0.240198,0.75411,167.605137,1874.103,121,-38.148,11,1.0032,0.9944,0,2.838,8.91,1980.297,22143,12.027024,-3.468,-0.3162816,-0.3135072,0,-0.894744,-2.80908,-624.333636,-6981.084,1,0.0912,0.0904,0,0.258,0.81,180.027,2013,0.00831744,0.00824448,0,0.0235296,0.073872,16.4184624,183.5856,0.00817216,0,0.0233232,0.073224,16.2744408,181.9752,0,0,0,0,0,0.066564,0.20898,46.446966,519.354,0.6561,145.82187,1630.53,32409.72073,362394.351,4052169,131638.6681,-7509.642984,1,0,65
14,1,0.627,0.533,1,-5.965,1,0.052,0.257,0,0.351,0.428,135.006,2013,0.393129,0.334191,0.627,-3.740055,0.627,0.032604,0.161139,0,0.220077,0.268356,84.648762,1262.151,0.284089,0.533,-3.179345,0.533,0.027716,0.136981,0,0.187083,0.228124,71.958198,1072.929,1,-5.965,1,0.052,0.257,0,0.351,0.428,135.006,2013,35.581225,-5.965,-0.31018,-1.533005,0,-2.093715,-2.55302,-805.31079,-12007.545,1,0.052,0.257,0,0.351,0.428,135.006,2013,0.002704,0.013364,0,0.018252,0.022256,7.020312,104.676,0.066049,0,0.090207,0.109996,34.696542,517.341,0,0,0,0,0,0.123201,0.150228,47.387106,706.563,0.183184,57.782568,861.564,18226.62004,271767.078,4052169,39287.87598,9821.157354,1,0,73
15,1,0.748,0.777,0,-5.749,1,0.136,0.0498,0,0.284,0.769,95.986,2013,0.559504,0.581196,0,-4.300252,0.748,0.101728,0.0372504,0,0.212432,0.575212,71.797528,1505.724,0.603729,0,-4.466973,0.777,0.105672,0.0386946,0,0.220668,0.597513,74.581122,1564.101,0,0,0,0,0,0,0,0,0,0,33.051001,-5.749,-0.781864,-0.2863002,0,-1.632716,-4.420981,-551.823514,-11572.737,1,0.136,0.0498,0,0.284,0.769,95.986,2013,0.018496,0.0067728,0,0.038624,0.104584,13.054096,273.768,0.00248004,0,0.0141432,0.0382962,4.7801028,100.2474,0,0,0,0,0,0.080656,0.218396,27.260024,571.692,0.591361,73.813234,1547.997,9213.312196,193219.818,4052169,-39761.65915,9539.896255,1,0,81
16,1,0.472,0.468,3,-5.815,1,0.184,0.163,0,0.586,0.404,81.94,2013,0.222784,0.220896,1.416,-2.74468,0.472,0.086848,0.076936,0,0.276592,0.190688,38.67568,950.136,0.219024,1.404,-2.72142,0.468,0.086112,0.076284,0,0.274248,0.189072,38.34792,942.084,9,-17.445,3,0.552,0.489,0,1.758,1.212,245.82,6039,33.814225,-5.815,-1.06996,-0.947845,0,-3.40759,-2.34926,-476.4811,-11705.595,1,0.184,0.163,0,0.586,0.404,81.94,2013,0.033856,0.029992,0,0.107824,0.074336,15.07696,370.392,0.026569,0,0.095518,0.065852,13.35622,328.119,0,0,0,0,0,0.343396,0.236744,48.01684,1179.618,0.163216,33.10376,813.252,6714.1636,164945.22,4052169,-67929.41375,2685.146748,0,1,57
17,1,0.668,0.515,1,-6.977,1,0.402,0.0703,0,0.223,0.425,122.014,2013,0.446224,0.34402,0.668,-4.660636,0.668,0.268536,0.0469604,0,0.148964,0.2839,81.505352,1344.684,0.265225,0.515,-3.593155,0.515,0.20703,0.0362045,0,0.114845,0.218875,62.83721,1036.695,1,-6.977,1,0.402,0.0703,0,0.223,0.425,122.014,2013,48.678529,-6.977,-2.804754,-0.4904831,0,-1.555871,-2.965225,-851.291678,-14044.701,1,0.402,0.0703,0,0.223,0.425,122.014,2013,0.161604,0.0282606,0,0.089646,0.17085,49.049628,809.226,0.00494209,0,0.0156769,0.0298775,8.5775842,141.5139,0,0,0,0,0,0.049729,0.094775,27.209122,448.899,0.180625,51.85595,855.525,14887.4162,245614.182,4052169,12895.59924,8996.708274,0,1,63
18,1,0.676,0.717,11,-8.219,0,0.0869,0.29,0.000368,0.0974,0.558,157.628,2013,0.456976,0.484692,7.436,-5.556044,0,0.0587444,0.19604,0.000248768,0.0658424,0.377208,106.556528,1360.788,0.514089,7.887,-5.893023,0,0.0623073,0.20793,0.000263856,0.0698358,0.400086,113.019276,1443.321,121,-90.409,0,0.9559,3.19,0.004048,1.0714,6.138,1733.908,22143,67.551961,0,-0.7142311,-2.38351,-0.003024592,-0.8005306,-4.586202,-1295.544532,-16544.847,0,0,0,0,0,0,0,0,0.00755161,0.025201,3.20E-05,0.00846406,0.0484902,13.6978732,174.9297,0.0841,0.00010672,0.028246,0.16182,45.71212,583.77,1.35E-07,3.58E-05,0.000205344,0.058007104,0.740784,0.00948676,0.0543492,15.3529672,196.0662,0.311364,87.956424,1123.254,24846.58638,317305.164,4052169,85768.16982,-9164.268024,0,1,54
19,1,0.559,0.716,11,-3.964,0,0.39,0.737,0,0.252,0.504,176.618,2013,0.312481,0.400244,6.149,-2.215876,0,0.21801,0.411983,0,0.140868,0.281736,98.729462,1125.267,0.512656,7.876,-2.838224,0,0.27924,0.527692,0,0.180432,0.360864,126.458488,1441.308,121,-43.604,0,4.29,8.107,0,2.772,5.544,1942.798,22143,15.713296,0,-1.54596,-2.921468,0,-0.998928,-1.997856,-700.113752,-7979.532,0,0,0,0,0,0,0,0,0.1521,0.28743,0,0.09828,0.19656,68.88102,785.07,0.543169,0,0.185724,0.371448,130.167466,1483.581,0,0,0,0,0,0.063504,0.127008,44.507736,507.276,0.254016,89.015472,1014.552,31193.91792,355532.034,4052169,124656.8264,-7804.203745,0,1,6
