,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,principal component 1,principal component 2,Taylor Swift,popularity
11,1,0.624,0.34,7,-12.411,1,0.029,0.632,0.0337,0.121,0.261,129.987,2012,0.389376,0.21216,4.368,-7.744464,0.624,0.018096,0.394368,0.0210288,0.075504,0.162864,81.111888,1255.488,0.1156,2.38,-4.21974,0.34,0.00986,0.21488,0.011458,0.04114,0.08874,44.19558,684.08,49,-86.877,7,0.203,4.424,0.2359,0.847,1.827,909.909,14084,154.032921,-12.411,-0.359919,-7.843752,-0.4182507,-1.501731,-3.239271,-1613.268657,-24970.932,1,0.029,0.632,0.0337,0.121,0.261,129.987,2012,0.000841,0.018328,0.0009773,0.003509,0.007569,3.769623,58.348,0.399424,0.0212984,0.076472,0.164952,82.151784,1271.584,0.00113569,0.0040777,0.0087957,4.3805619,67.8044,0.014641,0.031581,15.728427,243.452,0.068121,33.926607,525.132,16896.62017,261533.844,4048144,11804.00873,547.2461754,1,40
12,1,0.706,0.499,4,-7.675,1,0.0369,0.0371,0,0.132,0.545,117.937,2012,0.498436,0.352294,2.824,-5.41855,0.706,0.0260514,0.0261926,0,0.093192,0.38477,83.263522,1420.472,0.249001,1.996,-3.829825,0.499,0.0184131,0.0185129,0,0.065868,0.271955,58.850563,1003.988,16,-30.7,4,0.1476,0.1484,0,0.528,2.18,471.748,8048,58.905625,-7.675,-0.2832075,-0.2847425,0,-1.0131,-4.182875,-905.166475,-15442.1,1,0.0369,0.0371,0,0.132,0.545,117.937,2012,0.00136161,0.00136899,0,0.0048708,0.0201105,4.3518753,74.2428,0.00137641,0,0.0048972,0.0202195,4.3754627,74.6452,0,0,0,0,0,0.017424,0.07194,15.567684,265.584,0.297025,64.275665,1096.54,13909.13597,237289.244,4048144,-12495.22408,-318.6280265,1,39
13,1,0.624,0.458,6,-6.755,1,0.0287,0.36,3.89E-06,0.303,0.436,80.017,2012,0.389376,0.285792,3.744,-4.21512,0.624,0.0179088,0.22464,2.43E-06,0.189072,0.272064,49.930608,1255.488,0.209764,2.748,-3.09379,0.458,0.0131446,0.16488,1.78E-06,0.138774,0.199688,36.647786,921.496,36,-40.53,6,0.1722,2.16,2.33E-05,1.818,2.616,480.102,12072,45.630025,-6.755,-0.1938685,-2.4318,-2.63E-05,-2.046765,-2.94518,-540.514835,-13591.06,1,0.0287,0.36,3.89E-06,0.303,0.436,80.017,2012,0.00082369,0.010332,1.12E-07,0.0086961,0.0125132,2.2964879,57.7444,0.1296,1.40E-06,0.10908,0.15696,28.80612,724.32,1.51E-11,1.18E-06,1.70E-06,0.000311266,0.00782668,0.091809,0.132108,24.245151,609.636,0.190096,34.887412,877.232,6402.720289,160994.204,4048144,-89088.39989,-1038.423552,1,61
14,1,0.649,0.777,9,-5.804,1,0.0406,0.0213,0.000335,0.221,0.587,126.018,2012,0.421201,0.504273,5.841,-3.766796,0.649,0.0263494,0.0138237,0.000217415,0.143429,0.380963,81.785682,1305.788,0.603729,6.993,-4.509708,0.777,0.0315462,0.0165501,0.000260295,0.171717,0.456099,97.915986,1563.324,81,-52.236,9,0.3654,0.1917,0.003015,1.989,5.283,1134.162,18108,33.686416,-5.804,-0.2356424,-0.1236252,-0.00194434,-1.282684,-3.406948,-731.408472,-11677.648,1,0.0406,0.0213,0.000335,0.221,0.587,126.018,2012,0.00164836,0.00086478,1.36E-05,0.0089726,0.0238322,5.1163308,81.6872,0.00045369,7.14E-06,0.0047073,0.0125031,2.6841834,42.8556,1.12E-07,7.40E-05,0.000196645,0.04221603,0.67402,0.048841,0.129727,27.849978,444.652,0.344569,73.972566,1181.044,15880.53632,253548.216,4048144,3945.386696,-1302.506035,1,42
15,1,0.53,0.526,7,-8.349,1,0.0263,0.199,3.52E-06,0.232,0.323,79.025,2012,0.2809,0.27878,3.71,-4.42497,0.53,0.013939,0.10547,1.87E-06,0.12296,0.17119,41.88325,1066.36,0.276676,3.682,-4.391574,0.526,0.0138338,0.104674,1.85E-06,0.122032,0.169898,41.56715,1058.312,49,-58.443,7,0.1841,1.393,2.46E-05,1.624,2.261,553.175,14084,69.705801,-8.349,-0.2195787,-1.661451,-2.94E-05,-1.936968,-2.696727,-659.779725,-16798.188,1,0.0263,0.199,3.52E-06,0.232,0.323,79.025,2012,0.00069169,0.0052337,9.26E-08,0.0061016,0.0084949,2.0783575,52.9156,0.039601,7.00E-07,0.046168,0.064277,15.725975,400.388,1.24E-11,8.17E-07,1.14E-06,0.000278168,0.00708224,0.053824,0.074936,18.3338,466.784,0.104329,25.525075,649.876,6244.950625,158998.3,4048144,-91129.31045,-784.5612287,1,57
16,1,0.683,0.627,6,-5.473,1,0.0345,0.265,4.81E-06,0.21,0.645,80.028,2013,0.466489,0.428241,4.098,-3.738059,0.683,0.0235635,0.180995,3.29E-06,0.14343,0.440535,54.659124,1374.879,0.393129,3.762,-3.431571,0.627,0.0216315,0.166155,3.02E-06,0.13167,0.404415,50.177556,1262.151,36,-32.838,6,0.207,1.59,2.89E-05,1.26,3.87,480.168,12078,29.953729,-5.473,-0.1888185,-1.450345,-2.63E-05,-1.14933,-3.530085,-437.993244,-11017.149,1,0.0345,0.265,4.81E-06,0.21,0.645,80.028,2013,0.00119025,0.0091425,1.66E-07,0.007245,0.0222525,2.760966,69.4485,0.070225,1.27E-06,0.05565,0.170925,21.20742,533.445,2.31E-11,1.01E-06,3.10E-06,0.000384935,0.00968253,0.0441,0.13545,16.80588,422.73,0.416025,51.61806,1298.385,6404.480784,161096.364,4052169,-88958.20237,2645.087827,1,0
17,1,0.624,0.757,7,-2.94,1,0.0296,0.00265,1.87E-06,0.189,0.658,121.07,2010,0.389376,0.472368,4.368,-1.83456,0.624,0.0184704,0.0016536,1.17E-06,0.117936,0.410592,75.54768,1254.24,0.573049,5.299,-2.22558,0.757,0.0224072,0.00200605,1.42E-06,0.143073,0.498106,91.64999,1521.57,49,-20.58,7,0.2072,0.01855,1.31E-05,1.323,4.606,847.49,14070,8.6436,-2.94,-0.087024,-0.007791,-5.50E-06,-0.55566,-1.93452,-355.9458,-5909.4,1,0.0296,0.00265,1.87E-06,0.189,0.658,121.07,2010,0.00087616,7.84E-05,5.54E-08,0.0055944,0.0194768,3.583672,59.496,7.02E-06,4.96E-09,0.00050085,0.0017437,0.3208355,5.3265,3.50E-12,3.53E-07,1.23E-06,0.000226401,0.0037587,0.035721,0.124362,22.88223,379.89,0.432964,79.66406,1322.58,14657.9449,243350.7,4040100,-6233.883312,-9759.171006,1,64
18,1,0.605,0.787,5,-3.002,1,0.0308,0.0396,1.42E-06,0.163,0.374,114.987,2010,0.366025,0.476135,3.025,-1.81621,0.605,0.018634,0.023958,8.59E-07,0.098615,0.22627,69.567135,1216.05,0.619369,3.935,-2.362574,0.787,0.0242396,0.0311652,1.12E-06,0.128281,0.294338,90.494769,1581.87,25,-15.01,5,0.154,0.198,7.10E-06,0.815,1.87,574.935,10050,9.012004,-3.002,-0.0924616,-0.1188792,-4.26E-06,-0.489326,-1.122748,-345.190974,-6034.02,1,0.0308,0.0396,1.42E-06,0.163,0.374,114.987,2010,0.00094864,0.00121968,4.37E-08,0.0050204,0.0115192,3.5415996,61.908,0.00156816,5.62E-08,0.0064548,0.0148104,4.5534852,79.596,2.02E-12,2.31E-07,5.31E-07,0.000163282,0.0028542,0.026569,0.060962,18.742881,327.63,0.139876,43.005138,751.74,13222.01017,231123.87,4040100,-18548.84258,-9551.159335,1,50
19,1,0.529,0.67,2,-4.663,1,0.0303,0.117,0,0.334,0.286,141.893,2010,0.279841,0.35443,1.058,-2.466727,0.529,0.0160287,0.061893,0,0.176686,0.151294,75.061397,1063.29,0.4489,1.34,-3.12421,0.67,0.020301,0.07839,0,0.22378,0.19162,95.06831,1346.7,4,-9.326,2,0.0606,0.234,0,0.668,0.572,283.786,4020,21.743569,-4.663,-0.1412889,-0.545571,0,-1.557442,-1.333618,-661.647059,-9372.63,1,0.0303,0.117,0,0.334,0.286,141.893,2010,0.00091809,0.0035451,0,0.0101202,0.0086658,4.2993579,60.903,0.013689,0,0.039078,0.033462,16.601481,235.17,0,0,0,0,0,0.111556,0.095524,47.392262,671.34,0.081796,40.581398,574.86,20133.62345,285204.93,4040100,35913.37944,-8605.761974,1,63
20,1,0.709,0.599,7,-3.734,1,0.0304,0.095,0,0.0973,0.735,118.975,2010,0.502681,0.424691,4.963,-2.647406,0.709,0.0215536,0.067355,0,0.0689857,0.521115,84.353275,1425.09,0.358801,4.193,-2.236666,0.599,0.0182096,0.056905,0,0.0582827,0.440265,71.266025,1203.99,49,-26.138,7,0.2128,0.665,0,0.6811,5.145,832.825,14070,13.942756,-3.734,-0.1135136,-0.35473,0,-0.3633182,-2.74449,-444.25265,-7505.34,1,0.0304,0.095,0,0.0973,0.735,118.975,2010,0.00092416,0.002888,0,0.00295792,0.022344,3.61684,61.104,0.009025,0,0.0092435,0.069825,11.302625,190.95,0,0,0,0,0,0.00946729,0.0715155,11.5762675,195.573,0.540225,87.446625,1477.35,14155.05062,239139.75,4040100,-10497.22064,-9582.215784,1,49
