,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,principal component 1,principal component 2,Drake,popularity
11,1,0.791,0.619,1,-5.886,1,0.0532,0.00784,0.00423,0.351,0.371,103.989,2016,0.625681,0.489629,0.791,-4.655826,0.791,0.0420812,0.00620144,0.00334593,0.277641,0.293461,82.255299,1594.656,0.383161,0.619,-3.643434,0.619,0.0329308,0.00485296,0.00261837,0.217269,0.229649,64.369191,1247.904,1,-5.886,1,0.0532,0.00784,0.00423,0.351,0.371,103.989,2016,34.644996,-5.886,-0.3131352,-0.04614624,-0.02489778,-2.065986,-2.183706,-612.079254,-11866.176,1,0.0532,0.00784,0.00423,0.351,0.371,103.989,2016,0.00283024,0.000417088,0.000225036,0.0186732,0.0197372,5.5322148,107.2512,6.15E-05,3.32E-05,0.00275184,0.00290864,0.81527376,15.80544,1.79E-05,0.00148473,0.00156933,0.43987347,8.52768,0.123201,0.130221,36.500139,707.616,0.137641,38.579919,747.936,10813.71212,209641.824,4064256,-31996.53529,-3998.504659,1,21
12,1,0.711,0.44,1,-9.509,1,0.471,0.00175,2.73E-06,0.0798,0.121,145.116,2016,0.505521,0.31284,0.711,-6.760899,0.711,0.334881,0.00124425,1.94E-06,0.0567378,0.086031,103.177476,1433.376,0.1936,0.44,-4.18396,0.44,0.20724,0.00077,1.20E-06,0.035112,0.05324,63.85104,887.04,1,-9.509,1,0.471,0.00175,2.73E-06,0.0798,0.121,145.116,2016,90.421081,-9.509,-4.478739,-0.01664075,-2.60E-05,-0.7588182,-1.150589,-1379.908044,-19170.144,1,0.471,0.00175,2.73E-06,0.0798,0.121,145.116,2016,0.221841,0.00082425,1.29E-06,0.0375858,0.056991,68.349636,949.536,3.06E-06,4.78E-09,0.00013965,0.00021175,0.253953,3.528,7.45E-12,2.18E-07,3.30E-07,0.000396167,0.00550368,0.00636804,0.0096558,11.5802568,160.8768,0.014641,17.559036,243.936,21058.65346,292553.856,4064256,51488.98984,-5225.52957,1,2
13,1,0.691,0.482,1,-11.14,1,0.231,0.0173,7.10E-06,0.197,0.305,160.027,2016,0.477481,0.333062,0.691,-7.69774,0.691,0.159621,0.0119543,4.91E-06,0.136127,0.210755,110.578657,1393.056,0.232324,0.482,-5.36948,0.482,0.111342,0.0083386,3.42E-06,0.094954,0.14701,77.133014,971.712,1,-11.14,1,0.231,0.0173,7.10E-06,0.197,0.305,160.027,2016,124.0996,-11.14,-2.57334,-0.192722,-7.91E-05,-2.19458,-3.3977,-1782.70078,-22458.24,1,0.231,0.0173,7.10E-06,0.197,0.305,160.027,2016,0.053361,0.0039963,1.64E-06,0.045507,0.070455,36.966237,465.696,0.00029929,1.23E-07,0.0034081,0.0052765,2.7684671,34.8768,5.04E-11,1.40E-06,2.17E-06,0.001136192,0.0143136,0.038809,0.060085,31.525319,397.152,0.093025,48.808235,614.88,25608.64073,322614.432,4064256,81857.05893,-5698.054839,1,3
14,1,0.724,0.456,7,-10.009,1,0.127,0.215,2.41E-06,0.105,0.0481,133.051,2016,0.524176,0.330144,5.068,-7.246516,0.724,0.091948,0.15566,1.74E-06,0.07602,0.0348244,96.328924,1459.584,0.207936,3.192,-4.564104,0.456,0.057912,0.09804,1.10E-06,0.04788,0.0219336,60.671256,919.296,49,-70.063,7,0.889,1.505,1.69E-05,0.735,0.3367,931.357,14112,100.180081,-10.009,-1.271143,-2.151935,-2.41E-05,-1.050945,-0.4814329,-1331.707459,-20178.144,1,0.127,0.215,2.41E-06,0.105,0.0481,133.051,2016,0.016129,0.027305,3.06E-07,0.013335,0.0061087,16.897477,256.032,0.046225,5.18E-07,0.022575,0.0103415,28.605965,433.44,5.81E-12,2.53E-07,1.16E-07,0.000320653,0.00485856,0.011025,0.0050505,13.970355,211.68,0.00231361,6.3997531,96.9696,17702.5686,268230.816,4064256,26831.88442,-6238.636951,1,2
15,1,0.804,0.648,7,-7.805,1,0.117,0.0573,3.49E-05,0.102,0.392,117.983,2016,0.646416,0.520992,5.628,-6.27522,0.804,0.094068,0.0460692,2.81E-05,0.082008,0.315168,94.858332,1620.864,0.419904,4.536,-5.05764,0.648,0.075816,0.0371304,2.26E-05,0.066096,0.254016,76.452984,1306.368,49,-54.635,7,0.819,0.4011,0.0002443,0.714,2.744,825.881,14112,60.918025,-7.805,-0.913185,-0.4472265,-0.000272394,-0.79611,-3.05956,-920.857315,-15734.88,1,0.117,0.0573,3.49E-05,0.102,0.392,117.983,2016,0.013689,0.0067041,4.08E-06,0.011934,0.045864,13.804011,235.872,0.00328329,2.00E-06,0.0058446,0.0224616,6.7604259,115.5168,1.22E-09,3.56E-06,1.37E-05,0.004117607,0.0703584,0.010404,0.039984,12.034266,205.632,0.153664,46.249336,790.272,13919.98829,237853.728,4064256,-3746.988866,-5690.598604,1,14
16,1,0.687,0.267,4,-8.818,0,0.0297,0.372,0.00411,0.0992,0.307,131.962,2016,0.471969,0.183429,2.748,-6.057966,0,0.0204039,0.255564,0.00282357,0.0681504,0.210909,90.657894,1384.992,0.071289,1.068,-2.354406,0,0.0079299,0.099324,0.00109737,0.0264864,0.081969,35.233854,538.272,16,-35.272,0,0.1188,1.488,0.01644,0.3968,1.228,527.848,8064,77.757124,0,-0.2618946,-3.280296,-0.03624198,-0.8747456,-2.707126,-1163.640916,-17777.088,0,0,0,0,0,0,0,0,0.00088209,0.0110484,0.000122067,0.00294624,0.0091179,3.9192714,59.8752,0.138384,0.00152892,0.0369024,0.114204,49.089864,749.952,1.69E-05,0.000407712,0.00126177,0.54236382,8.28576,0.00984064,0.0304544,13.0906304,199.9872,0.094249,40.512334,618.912,17413.96944,266035.392,4064256,24682.68139,-5498.276035,1,0
17,1,0.709,0.259,1,-14.341,0,0.0892,0.0803,0,0.0855,0.265,79.839,2016,0.502681,0.183631,0.709,-10.167769,0,0.0632428,0.0569327,0,0.0606195,0.187885,56.605851,1429.344,0.067081,0.259,-3.714319,0,0.0231028,0.0207977,0,0.0221445,0.068635,20.678301,522.144,1,-14.341,0,0.0892,0.0803,0,0.0855,0.265,79.839,2016,205.664281,0,-1.2792172,-1.1515823,0,-1.2261555,-3.800365,-1144.971099,-28911.456,0,0,0,0,0,0,0,0,0.00795664,0.00716276,0,0.0076266,0.023638,7.1216388,179.8272,0.00644809,0,0.00686565,0.0212795,6.4110717,161.8848,0,0,0,0,0,0.00731025,0.0226575,6.8262345,172.368,0.070225,21.157335,534.24,6374.265921,160955.424,4064256,-80970.06696,-4411.759,1,3
18,1,0.446,0.871,5,-5.837,1,0.367,0.07,0,0.243,0.0795,78.119,2016,0.198916,0.388466,2.23,-2.603302,0.446,0.163682,0.03122,0,0.108378,0.035457,34.841074,899.136,0.758641,4.355,-5.084027,0.871,0.319657,0.06097,0,0.211653,0.0692445,68.041649,1755.936,25,-29.185,5,1.835,0.35,0,1.215,0.3975,390.595,10080,34.070569,-5.837,-2.142179,-0.40859,0,-1.418391,-0.4640415,-455.980603,-11767.392,1,0.367,0.07,0,0.243,0.0795,78.119,2016,0.134689,0.02569,0,0.089181,0.0291765,28.669673,739.872,0.0049,0,0.01701,0.005565,5.46833,141.12,0,0,0,0,0,0.059049,0.0193185,18.982917,489.888,0.00632025,6.2104605,160.272,6102.578161,157487.904,4064256,-84392.12132,-4260.744031,1,1
19,1,0.903,0.62,2,-8.094,1,0.0587,0.00347,0.000119,0.0504,0.539,134.96,2016,0.815409,0.55986,1.806,-7.308882,0.903,0.0530061,0.00313341,0.000107457,0.0455112,0.486717,121.86888,1820.448,0.3844,1.24,-5.01828,0.62,0.036394,0.0021514,7.38E-05,0.031248,0.33418,83.6752,1249.92,4,-16.188,2,0.1174,0.00694,0.000238,0.1008,1.078,269.92,4032,65.512836,-8.094,-0.4751178,-0.02808618,-0.000963186,-0.4079376,-4.362666,-1092.36624,-16317.504,1,0.0587,0.00347,0.000119,0.0504,0.539,134.96,2016,0.00344569,0.000203689,6.99E-06,0.00295848,0.0316393,7.922152,118.3392,1.20E-05,4.13E-07,0.000174888,0.00187033,0.4683112,6.99552,1.42E-08,6.00E-06,6.41E-05,0.01606024,0.239904,0.00254016,0.0271656,6.801984,101.6064,0.290521,72.74344,1086.624,18214.2016,272079.36,4064256,30823.45661,-5065.193276,1,11
20,1,0.889,0.543,2,-7.666,1,0.128,0.00311,6.85E-06,0.234,0.314,140.029,2015,0.790321,0.482727,1.778,-6.815074,0.889,0.113792,0.00276479,6.09E-06,0.208026,0.279146,124.485781,1791.335,0.294849,1.086,-4.162638,0.543,0.069504,0.00168873,3.72E-06,0.127062,0.170502,76.035747,1094.145,4,-15.332,2,0.256,0.00622,1.37E-05,0.468,0.628,280.058,4030,58.767556,-7.666,-0.981248,-0.02384126,-5.25E-05,-1.793844,-2.407124,-1073.462314,-15446.99,1,0.128,0.00311,6.85E-06,0.234,0.314,140.029,2015,0.016384,0.00039808,8.77E-07,0.029952,0.040192,17.923712,257.92,9.67E-06,2.13E-08,0.00072774,0.00097654,0.43549019,6.26665,4.69E-11,1.60E-06,2.15E-06,0.000959199,0.01380275,0.054756,0.073476,32.766786,471.51,0.098596,43.969106,632.71,19608.12084,282158.435,4060225,41038.71421,-1118.565691,1,1
