,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,principal component 1,principal component 2,Ariana Grande,Drake,Maroon 5,Taylor Swift,popularity
10,1,0.764,0.759,8,-4.494,1,0.244,0.216,0,0.308,0.762,143.037,2015,0.583696,0.579876,6.112,-3.433416,0.764,0.186416,0.165024,0,0.235312,0.582168,109.280268,1539.46,0.576081,6.072,-3.410946,0.759,0.185196,0.163944,0,0.233772,0.578358,108.565083,1529.385,64,-35.952,8,1.952,1.728,0,2.464,6.096,1144.296,16120,20.196036,-4.494,-1.096536,-0.970704,0,-1.384152,-3.424428,-642.808278,-9055.41,1,0.244,0.216,0,0.308,0.762,143.037,2015,0.059536,0.052704,0,0.075152,0.185928,34.901028,491.66,0.046656,0,0.066528,0.164592,30.895992,435.24,0,0,0,0,0,0.094864,0.234696,44.055396,620.62,0.580644,108.994194,1535.43,20459.58337,288219.555,4060225,46926.60681,6660.814604,1,0,0,0,0
11,1,0.219,0.151,1,-14.097,1,0.0366,0.933,8.35E-05,0.235,0.111,82.019,2015,0.047961,0.033069,0.219,-3.087243,0.219,0.0080154,0.204327,1.83E-05,0.051465,0.024309,17.962161,441.285,0.022801,0.151,-2.128647,0.151,0.0055266,0.140883,1.26E-05,0.035485,0.016761,12.384869,304.265,1,-14.097,1,0.0366,0.933,8.35E-05,0.235,0.111,82.019,2015,198.725409,-14.097,-0.5159502,-13.152501,-0.0011771,-3.312795,-1.564767,-1156.221843,-28405.455,1,0.0366,0.933,8.35E-05,0.235,0.111,82.019,2015,0.00133956,0.0341478,3.06E-06,0.008601,0.0040626,3.0018954,73.749,0.870489,7.79E-05,0.219255,0.103563,76.523727,1879.995,6.97E-09,1.96E-05,9.27E-06,0.006848586,0.1682525,0.055225,0.026085,19.274465,473.525,0.012321,9.104109,223.665,6727.116361,165268.285,4060225,-77258.05973,-8980.253538,1,0,0,0,44
12,1,0.889,0.543,2,-7.666,1,0.128,0.00311,6.85E-06,0.234,0.314,140.029,2015,0.790321,0.482727,1.778,-6.815074,0.889,0.113792,0.00276479,6.09E-06,0.208026,0.279146,124.485781,1791.335,0.294849,1.086,-4.162638,0.543,0.069504,0.00168873,3.72E-06,0.127062,0.170502,76.035747,1094.145,4,-15.332,2,0.256,0.00622,1.37E-05,0.468,0.628,280.058,4030,58.767556,-7.666,-0.981248,-0.02384126,-5.25E-05,-1.793844,-2.407124,-1073.462314,-15446.99,1,0.128,0.00311,6.85E-06,0.234,0.314,140.029,2015,0.016384,0.00039808,8.77E-07,0.029952,0.040192,17.923712,257.92,9.67E-06,2.13E-08,0.00072774,0.00097654,0.43549019,6.26665,4.69E-11,1.60E-06,2.15E-06,0.000959199,0.01380275,0.054756,0.073476,32.766786,471.51,0.098596,43.969106,632.71,19608.12084,282158.435,4060225,40588.31338,-6222.999272,0,1,0,0,1
13,1,0.769,0.676,8,-6.48,0,0.277,0.00179,0,0.251,0.304,131.938,2015,0.591361,0.519844,6.152,-4.98312,0,0.213013,0.00137651,0,0.193019,0.233776,101.460322,1549.535,0.456976,5.408,-4.38048,0,0.187252,0.00121004,0,0.169676,0.205504,89.190088,1362.14,64,-51.84,0,2.216,0.01432,0,2.008,2.432,1055.504,16120,41.9904,0,-1.79496,-0.0115992,0,-1.62648,-1.96992,-854.95824,-13057.2,0,0,0,0,0,0,0,0,0.076729,0.00049583,0,0.069527,0.084208,36.546826,558.155,3.20E-06,0,0.00044929,0.00054416,0.23616902,3.60685,0,0,0,0,0,0.063001,0.076304,33.116438,505.765,0.092416,40.109152,612.56,17407.63584,265855.07,4060225,24274.95387,6347.992386,0,1,0,0,2
14,1,0.885,0.485,4,-8.491,0,0.24,0.0335,0,0.0805,0.293,82.992,2015,0.783225,0.429225,3.54,-7.514535,0,0.2124,0.0296475,0,0.0712425,0.259305,73.44792,1783.275,0.235225,1.94,-4.118135,0,0.1164,0.0162475,0,0.0390425,0.142105,40.25112,977.275,16,-33.964,0,0.96,0.134,0,0.322,1.172,331.968,8060,72.097081,0,-2.03784,-0.2844485,0,-0.6835255,-2.487863,-704.685072,-17109.365,0,0,0,0,0,0,0,0,0.0576,0.00804,0,0.01932,0.07032,19.91808,483.6,0.00112225,0,0.00269675,0.0098155,2.780232,67.5025,0,0,0,0,0,0.00648025,0.0235865,6.680856,162.2075,0.085849,24.316656,590.395,6887.672064,167228.88,4060225,-75015.17622,-1252.952821,0,1,0,0,0
15,1,0.522,0.362,1,-10.827,1,0.048,0.139,2.83E-05,0.111,0.17,135.797,2015,0.272484,0.188964,0.522,-5.651694,0.522,0.025056,0.072558,1.48E-05,0.057942,0.08874,70.886034,1051.83,0.131044,0.362,-3.919374,0.362,0.017376,0.050318,1.02E-05,0.040182,0.06154,49.158514,729.43,1,-10.827,1,0.048,0.139,2.83E-05,0.111,0.17,135.797,2015,117.223929,-10.827,-0.519696,-1.504953,-0.000306404,-1.201797,-1.84059,-1470.274119,-21816.405,1,0.048,0.139,2.83E-05,0.111,0.17,135.797,2015,0.002304,0.006672,1.36E-06,0.005328,0.00816,6.518256,96.72,0.019321,3.93E-06,0.015429,0.02363,18.875783,280.085,8.01E-10,3.14E-06,4.81E-06,0.003843055,0.0570245,0.012321,0.01887,15.073467,223.665,0.0289,23.08549,342.55,18440.82521,273630.955,4060225,31836.04073,-9092.410049,0,1,0,0,1
16,1,0.511,0.416,0,-9.203,0,0.384,0.0931,1.12E-05,0.0974,0.289,86.678,2015,0.261121,0.212576,0,-4.702733,0,0.196224,0.0475741,5.72E-06,0.0497714,0.147679,44.292458,1029.665,0.173056,0,-3.828448,0,0.159744,0.0387296,4.66E-06,0.0405184,0.120224,36.058048,838.24,0,0,0,0,0,0,0,0,0,0,84.695209,0,-3.533952,-0.8567993,-0.000103074,-0.8963722,-2.659667,-797.697634,-18544.045,0,0,0,0,0,0,0,0,0.147456,0.0357504,4.30E-06,0.0374016,0.110976,33.284352,773.76,0.00866761,1.04E-06,0.00906794,0.0269059,8.0697218,187.5965,1.25E-10,1.09E-06,3.24E-06,0.000970794,0.022568,0.00948676,0.0281486,8.4424372,196.261,0.083521,25.049942,582.335,7513.075684,174656.17,4060225,-67656.07547,-9509.953459,0,1,0,0,0
17,1,0.84,0.477,1,-6.599,1,0.325,0.0106,0,0.157,0.36,170.99,2015,0.7056,0.40068,0.84,-5.54316,0.84,0.273,0.008904,0,0.13188,0.3024,143.6316,1692.6,0.227529,0.477,-3.147723,0.477,0.155025,0.0050562,0,0.074889,0.17172,81.56223,961.155,1,-6.599,1,0.325,0.0106,0,0.157,0.36,170.99,2015,43.546801,-6.599,-2.144675,-0.0699494,0,-1.036043,-2.37564,-1128.36301,-13296.985,1,0.325,0.0106,0,0.157,0.36,170.99,2015,0.105625,0.003445,0,0.051025,0.117,55.57175,654.875,0.00011236,0,0.0016642,0.003816,1.812494,21.359,0,0,0,0,0,0.024649,0.05652,26.84543,316.355,0.1296,61.5564,725.4,29237.5801,344544.85,4060225,103700.4224,-8530.782888,0,1,0,0,1
18,1,0.842,0.519,0,-9.255,1,0.223,0.000394,0.00069,0.131,0.249,160.003,2015,0.708964,0.436998,0,-7.79271,0.842,0.187766,0.000331748,0.00058098,0.110302,0.209658,134.722526,1696.63,0.269361,0,-4.803345,0.519,0.115737,0.000204486,0.00035811,0.067989,0.129231,83.041557,1045.785,0,0,0,0,0,0,0,0,0,0,85.655025,-9.255,-2.063865,-0.00364647,-0.00638595,-1.212405,-2.304495,-1480.827765,-18648.825,1,0.223,0.000394,0.00069,0.131,0.249,160.003,2015,0.049729,8.79E-05,0.00015387,0.029213,0.055527,35.680669,449.345,1.55E-07,2.72E-07,5.16E-05,9.81E-05,0.063041182,0.79391,4.76E-07,9.04E-05,0.00017181,0.11040207,1.39035,0.017161,0.032619,20.960393,263.965,0.062001,39.840747,501.735,25600.96001,322406.045,4060225,81162.29237,-11108.0021,0,1,0,0,0
19,1,0.804,0.334,0,-10.135,1,0.385,0.0204,0,0.118,0.202,137.855,2015,0.646416,0.268536,0,-8.14854,0.804,0.30954,0.0164016,0,0.094872,0.162408,110.83542,1620.06,0.111556,0,-3.38509,0.334,0.12859,0.0068136,0,0.039412,0.067468,46.04357,673.01,0,0,0,0,0,0,0,0,0,0,102.718225,-10.135,-3.901975,-0.206754,0,-1.19593,-2.04727,-1397.160425,-20422.025,1,0.385,0.0204,0,0.118,0.202,137.855,2015,0.148225,0.007854,0,0.04543,0.07777,53.074175,775.775,0.00041616,0,0.0024072,0.0041208,2.812242,41.106,0,0,0,0,0,0.013924,0.023836,16.26689,237.77,0.040804,27.84671,407.03,19004.00102,277777.825,4060225,36035.3635,-10924.71382,0,1,0,0,0
