,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,principal component 1,principal component 2,Maroon 5,popularity
10,1,0.49,0.315,1,-7.682,1,0.03,0.597,0,0.082,0.316,101.962,2014,0.2401,0.15435,0.49,-3.76418,0.49,0.0147,0.29253,0,0.04018,0.15484,49.96138,986.86,0.099225,0.315,-2.41983,0.315,0.00945,0.188055,0,0.02583,0.09954,32.11803,634.41,1,-7.682,1,0.03,0.597,0,0.082,0.316,101.962,2014,59.013124,-7.682,-0.23046,-4.586154,0,-0.629924,-2.427512,-783.272084,-15471.548,1,0.03,0.597,0,0.082,0.316,101.962,2014,0.0009,0.01791,0,0.00246,0.00948,3.05886,60.42,0.356409,0,0.048954,0.188652,60.871314,1202.358,0,0,0,0,0,0.006724,0.025912,8.360884,165.148,0.099856,32.219992,636.424,10396.24944,205351.468,4056196,-37585.57224,-17854.44403,1,0
11,1,0.594,0.799,8,-5.805,1,0.0346,0.00239,0,0.133,0.416,134.998,2014,0.352836,0.474606,4.752,-3.44817,0.594,0.0205524,0.00141966,0,0.079002,0.247104,80.188812,1196.316,0.638401,6.392,-4.638195,0.799,0.0276454,0.00190961,0,0.106267,0.332384,107.863402,1609.186,64,-46.44,8,0.2768,0.01912,0,1.064,3.328,1079.984,16112,33.698025,-5.805,-0.200853,-0.01387395,0,-0.772065,-2.41488,-783.66339,-11691.27,1,0.0346,0.00239,0,0.133,0.416,134.998,2014,0.00119716,8.27E-05,0,0.0046018,0.0143936,4.6709308,69.6844,5.71E-06,0,0.00031787,0.00099424,0.32264522,4.81346,0,0,0,0,0,0.017689,0.055328,17.954734,267.862,0.173056,56.159168,837.824,18224.46,271885.972,4056196,29626.60636,-17741.82676,1,0
12,1,0.805,0.382,10,-9.697,0,0.0354,0.33,2.05E-05,0.0584,0.615,133.941,2014,0.648025,0.30751,8.05,-7.806085,0,0.028497,0.26565,1.65E-05,0.047012,0.495075,107.822505,1621.27,0.145924,3.82,-3.704254,0,0.0135228,0.12606,7.83E-06,0.0223088,0.23493,51.165462,769.348,100,-96.97,0,0.354,3.3,0.000205,0.584,6.15,1339.41,20140,94.031809,0,-0.3432738,-3.20001,-0.000198789,-0.5663048,-5.963655,-1298.825877,-19529.758,0,0,0,0,0,0,0,0,0.00125316,0.011682,7.26E-07,0.00206736,0.021771,4.7415114,71.2956,0.1089,6.77E-06,0.019272,0.20295,44.20053,664.62,4.20E-10,1.20E-06,1.26E-05,0.002745791,0.041287,0.00341056,0.035916,7.8221544,117.6176,0.378225,82.373715,1238.61,17940.19148,269757.174,4056196,27476.41916,-18300.82813,1,0
13,1,0.495,0.588,0,-4.754,1,0.0266,0.11,0,0.0763,0.439,82.047,2014,0.245025,0.29106,0,-2.35323,0.495,0.013167,0.05445,0,0.0377685,0.217305,40.613265,996.93,0.345744,0,-2.795352,0.588,0.0156408,0.06468,0,0.0448644,0.258132,48.243636,1184.232,0,0,0,0,0,0,0,0,0,0,22.600516,-4.754,-0.1264564,-0.52294,0,-0.3627302,-2.087006,-390.051438,-9574.556,1,0.0266,0.11,0,0.0763,0.439,82.047,2014,0.00070756,0.002926,0,0.00202958,0.0116774,2.1824502,53.5724,0.0121,0,0.008393,0.04829,9.02517,221.54,0,0,0,0,0,0.00582169,0.0334957,6.2601861,153.6682,0.192721,36.018633,884.146,6731.710209,165242.658,4056196,-77801.74887,-17846.58022,1,0
14,1,0.718,0.82,5,-3.453,0,0.0323,0.0444,0,0.0846,0.613,92.998,2012,0.515524,0.58876,3.59,-2.479254,0,0.0231914,0.0318792,0,0.0607428,0.440134,66.772564,1444.616,0.6724,4.1,-2.83146,0,0.026486,0.036408,0,0.069372,0.50266,76.25836,1649.84,25,-17.265,0,0.1615,0.222,0,0.423,3.065,464.99,10060,11.923209,0,-0.1115319,-0.1533132,0,-0.2921238,-2.116689,-321.122094,-6947.436,0,0,0,0,0,0,0,0,0.00104329,0.00143412,0,0.00273258,0.0197999,3.0038354,64.9876,0.00197136,0,0.00375624,0.0272172,4.1291112,89.3328,0,0,0,0,0,0.00715716,0.0518598,7.8676308,170.2152,0.375769,57.007774,1233.356,8648.628004,187111.976,4048144,-55766.20851,-9979.872715,1,68
15,1,0.739,0.756,4,-4.828,1,0.0394,0.0136,0,0.37,0.523,110.028,2012,0.546121,0.558684,2.956,-3.567892,0.739,0.0291166,0.0100504,0,0.27343,0.386497,81.310692,1486.868,0.571536,3.024,-3.649968,0.756,0.0297864,0.0102816,0,0.27972,0.395388,83.181168,1521.072,16,-19.312,4,0.1576,0.0544,0,1.48,2.092,440.112,8048,23.309584,-4.828,-0.1902232,-0.0656608,0,-1.78636,-2.525044,-531.215184,-9713.936,1,0.0394,0.0136,0,0.37,0.523,110.028,2012,0.00155236,0.00053584,0,0.014578,0.0206062,4.3351032,79.2728,0.00018496,0,0.005032,0.0071128,1.4963808,27.3632,0,0,0,0,0,0.1369,0.19351,40.71036,744.44,0.273529,57.544644,1052.276,12106.16078,221376.336,4048144,-21408.63211,-9699.98786,1,56
16,1,0.662,0.67,2,-5.504,1,0.027,0.0022,0,0.203,0.352,119.977,2012,0.438244,0.44354,1.324,-3.643648,0.662,0.017874,0.0014564,0,0.134386,0.233024,79.424774,1331.944,0.4489,1.34,-3.68768,0.67,0.01809,0.001474,0,0.13601,0.23584,80.38459,1348.04,4,-11.008,2,0.054,0.0044,0,0.406,0.704,239.954,4024,30.294016,-5.504,-0.148608,-0.0121088,0,-1.117312,-1.937408,-660.353408,-11074.048,1,0.027,0.0022,0,0.203,0.352,119.977,2012,0.000729,5.94E-05,0,0.005481,0.009504,3.239379,54.324,4.84E-06,0,0.0004466,0.0007744,0.2639494,4.4264,0,0,0,0,0,0.041209,0.071456,24.355331,408.436,0.123904,42.231904,708.224,14394.48053,241393.724,4048144,-1335.989406,-9391.061658,1,54
17,1,0.674,0.74,11,-4.517,0,0.0419,0.000637,0,0.111,0.431,143.998,2012,0.454276,0.49876,7.414,-3.044458,0,0.0282406,0.000429338,0,0.074814,0.290494,97.054652,1356.088,0.5476,8.14,-3.34258,0,0.031006,0.00047138,0,0.08214,0.31894,106.55852,1488.88,121,-49.687,0,0.4609,0.007007,0,1.221,4.741,1583.978,22132,20.403289,0,-0.1892623,-0.002877329,0,-0.501387,-1.946827,-650.438966,-9088.204,0,0,0,0,0,0,0,0,0.00175561,2.67E-05,0,0.0046509,0.0180589,6.0335162,84.3028,4.06E-07,0,7.07E-05,0.000274547,0.091726726,1.281644,0,0,0,0,0,0.012321,0.047841,15.983778,223.332,0.185761,62.063138,867.172,20735.424,289723.976,4048144,47680.89552,-9711.663851,1,48
18,1,0.627,0.848,2,-5.989,1,0.0351,0.000388,0,0.0716,0.848,139.954,2012,0.393129,0.531696,1.254,-3.755103,0.627,0.0220077,0.000243276,0,0.0448932,0.531696,87.751158,1261.524,0.719104,1.696,-5.078672,0.848,0.0297648,0.000329024,0,0.0607168,0.719104,118.680992,1706.176,4,-11.978,2,0.0702,0.000776,0,0.1432,1.696,279.908,4024,35.868121,-5.989,-0.2102139,-0.002323732,0,-0.4288124,-5.078672,-838.184506,-12049.868,1,0.0351,0.000388,0,0.0716,0.848,139.954,2012,0.00123201,1.36E-05,0,0.00251316,0.0297648,4.9123854,70.6212,1.51E-07,0,2.78E-05,0.000329024,0.054302152,0.780656,0,0,0,0,0,0.00512656,0.0607168,10.0207064,144.0592,0.719104,118.680992,1706.176,19587.12212,281587.448,4048144,39177.77845,-9055.452646,1,45
19,1,0.675,0.79,1,-6.295,1,0.0369,0.129,0,0.121,0.423,120.015,2012,0.455625,0.53325,0.675,-4.249125,0.675,0.0249075,0.087075,0,0.081675,0.285525,81.010125,1358.1,0.6241,0.79,-4.97305,0.79,0.029151,0.10191,0,0.09559,0.33417,94.81185,1589.48,1,-6.295,1,0.0369,0.129,0,0.121,0.423,120.015,2012,39.627025,-6.295,-0.2322855,-0.812055,0,-0.761695,-2.662785,-755.494425,-12665.54,1,0.0369,0.129,0,0.121,0.423,120.015,2012,0.00136161,0.0047601,0,0.0044649,0.0156087,4.4285535,74.2428,0.016641,0,0.015609,0.054567,15.481935,259.548,0,0,0,0,0,0.014641,0.051183,14.521815,243.452,0.178929,50.766345,851.076,14403.60023,241470.18,4048144,-1300.833402,-9364.475136,1,59
20,1,0.818,0.607,0,-6.927,1,0.0425,0.00974,0.000194,0.154,0.784,115.054,2012,0.669124,0.496526,0,-5.666286,0.818,0.034765,0.00796732,0.000158692,0.125972,0.641312,94.114172,1645.816,0.368449,0,-4.204689,0.607,0.0257975,0.00591218,0.000117758,0.093478,0.475888,69.837778,1221.284,0,0,0,0,0,0,0,0,0,0,47.983329,-6.927,-0.2943975,-0.06746898,-0.001343838,-1.066758,-5.430768,-796.979058,-13937.124,1,0.0425,0.00974,0.000194,0.154,0.784,115.054,2012,0.00180625,0.00041395,8.25E-06,0.006545,0.03332,4.889795,85.51,9.49E-05,1.89E-06,0.00149996,0.00763616,1.12062596,19.59688,3.76E-08,2.99E-05,0.000152096,0.022320476,0.390328,0.023716,0.120736,17.718316,309.848,0.614656,90.202336,1577.408,13237.42292,231488.648,4048144,-11385.73842,-9413.393251,1,41
21,1,0.668,0.757,4,-6.115,0,0.0411,0.0501,0,0.151,0.41,119.961,2012,0.446224,0.505676,2.672,-4.08482,0,0.0274548,0.0334668,0,0.100868,0.27388,80.133948,1344.016,0.573049,3.028,-4.629055,0,0.0311127,0.0379257,0,0.114307,0.31037,90.810477,1523.084,16,-24.46,0,0.1644,0.2004,0,0.604,1.64,479.844,8048,37.393225,0,-0.2513265,-0.3063615,0,-0.923365,-2.50715,-733.561515,-12303.38,0,0,0,0,0,0,0,0,0.00168921,0.00205911,0,0.0062061,0.016851,4.9303971,82.6932,0.00251001,0,0.0075651,0.020541,6.0100461,100.8012,0,0,0,0,0,0.022801,0.06191,18.114111,303.812,0.1681,49.18401,824.92,14390.64152,241361.532,4048144,-1311.86177,-9635.677689,1,40
